#,default,MINIMUM,LAAG,MEDIUM,HOOG,MAXIMUM,,,,,,,,,,,
#,tax,75,,,,,,,,,,,,,,,
#,idcards,VRIJWILLIG,WIJD VERSPREID,VERPLICHT,BIOMETRISCH,ZWAAR GEDWONGEN,,,,,,,,,,,
#,speedcameras,PROEVEN, ONGELUK-HOTSPOTS,BUITEN SCHOLEN,WOONGEBIEDEN,WIJD VERSPREID,OVERAL,,,,,,,,,,
#,militaryspending, ALLEEN CEREMONIAAL, RESERVERS, LICHT VERDEDIGEND, GOED OPGELEID, ZEER OPGELEID, OVERWELDIGE KRACHT,,,,,,,,,,
#,armedpolice,SPECIALISTEN, IN ELKE AFDELING, WIJDVERBREID, ELKE OFFICIER GEWAPEND, SUBMACHINEGEWONNEN,,,,,,,,,,,
#,cctv,ALLEEN MISDAAD, STADSCENTRA, WIJD VERSPREID, ELKE STRAAT HOEK, GEZICHTSHERKENNINGSSYSTEEM,,,,,,,,,,,
#,universitygrants,BETAALDE GEDEELTELIJKE KOSTEN,BETAALDE KOSTEN,SUBSIDIES VOOR SLECHTE STUDENTEN,GEDEELTELIJKE SUBSIDIES,SUBSIDIES VOOR ALLEN, RUIM BEURS,,,,,,,,,,
#,marriedtax,KLEIN,VOORDELIG,INCENTIVE,,,,,,,,,,,,,
#,gunlaws,GEEN LIMIET,GEEN MACHINEGUNS,GEEN AUTOMATICA,LICENTIE VEREIST,LICENTIE & MIN. LEEFTIJD,STRIKTE CONTROLES,TOTAAL VERBOD,,,,,,,,,
#,prisons, OVERVOLLE CELLEN, GEDEELDE CELLEN, BASISBEPALING, MODERNE GEBOUWEN, ULTIEME GEVANGENISSEN,,,,,,,,,,,
#,narcotics, VERBODEN, MEDICINALE CANNABIS, LEEFTIJDSBEPERKING VOOR CANNABIS, LEGALISEER CANNABIS, LEGALISEER LSD, LEGALISEER HEROINNE, LEGALISEER ALLE DRUGS,,,,,,,,,
#,internetcensorshipIN EXTREME GEVALLEN, OP VERZOEK VAN DE POLITIE, SOMMIGE SITES GEBLOKKEERD, ALLE VERKEER GECONTROLEERD,,,,,,,,,,,,
#,gambling,BEPERKTE STAKES, LEEFTIJDSLIMIET,GEEN STAKESLIMIT,GEEN BEPERKINGEN,,,,,,,,,,,,,
#,schoolprayersOP VERZOEK VAN OUDERS, OPTIONEEL, EENMAAL WEKELIJKS, DAGELIJKS, TWEEMAAL DAGELIJKS,,,,,,,,,,,
#,pollutioncontrols,MINIMALE TOEZICHT,UITGEBREIDE MONITORING,GOVT-DOELSTELLINGEN,BEPERKINGEN EN BOETES,GROTE BOETES,,,,,,,,,,,
#,deathpenalty,ALLEEN MASSA-MOORDEN,VOOR DOOR MOORD, DOOR MOORD & VERKRACHTING,VOOR GEWELDELIJKE MISDAAD,VOOR ERNSTIGE MISDAAD,VOOR DE MEESTE MISDAAD,,,,,,,,,,
#,jurytrialIN UITZONDERLIJKE GEVALLEN, IN ERNSTIGE GEVALLEN, INDIEN GEVRAAGD, WIJD VERSPREID, UNIVERSEEL,,,,,,,,,,,
#,nationalservice,BASISTRAINING,3 MAANDEN SERVICE,6 MAANDEN SERVICE,1 JAAR SERVICE,PERIODIEKE SERVICE,,,,,,,,,,,
#,organdonation,OP VERZOEK,INDIEN GOEDGEKEURD DOOR DE VOLGENDE VERBONDEN,VERDACHTE TOESTEMMING,UNIVERSEEL(Geen opt-out),,,,,,,,,,,,
#,alcohollaw,GEEN GRENZEN,MIN LEEFTIJD 16,MIN LEEFTIJD 18,MIN LEEFTIJD 21,ALLEEN BIER MET LAGE STERKTE, STERKE BEPERKINGEN,,,,,,,,,,
#,healthservice,LEVENSBEDREIENDE OPS, ALLE GROTE OPERATIES, ALLEEN ERNSTIGE ZIEKTE, ENIGE PREVENTIE, UITSTEKENDE GEZONDHEIDSBEPALING,,,,,,,,,,,
#,gatedcommunities,ONTMOEDIGD,ONVERSCHILLEND,BEVOEDIGD,,,,,,,,,,,,,
#,labourlaws,PRO-EMPLOYER,EVENWICHTIG,PRO-UNION,,,,,,,,,,,,,
#,intel,EEN PAAR SPIES,KLEINE SPY AGENTSCHAP, GROTE SPY AGENTSCHAP,HIGH TECH SPY SERVICE,SPION SATELLIET NETWERK,,,,,,,,,,,
#,roadbuilding,ESSENTIEEL ONDERHOUD,BASIS ONDERHOUD, BESTAANDE WEGEN VASTE, ENIGE UITBREIDING, GROTE UITBREIDING, GROTE NIEUWE WEGENNETWERKEN,,,,,,,,,,
#,phonetapping,MET GOVT-BESLUIT,MET GERECHTELIJK BESLUIT,MET TOESTEMMING VAN DE POLITIEHOOFD,OP POLITIEVERZOEK,WIJD VERSPREID GEBRUIK,UNIVERSEEL TOEZICHT,,,,,,,,,,
#,detention,72 UUR,7 DAGEN,30 DAGEN,90 DAGEN,ONBEPERKT,,,,,,,,,,,
#,creationism,FUNDAMENTALIST, RELIGIEUZE NADRUK, WETENSCHAP NADRUK, SECULAIR, ATHEEST,,,,,,,,,,,
#,curfews,VOOR ONDER 16 jaar,IN BEPAALDE GEBIEDEN,1AM TOT 3AM,12AM TOT 6AM,10PM TOT 8AM,,, ,,,,,,,,
#,welfarefraud,RAPPORTAGE HOTLINE,PERS ADVERTENTIECAMPAGNES,TV ADVERTENTIECAMPAGNES,UNDERCOVER ONDERZOEKERS,,,,,,,,,,,,
#,recycling,POSTERCAMPAGNE,FLESBANKEN,RECYCLINGCENTRA,BEPERKTE DOORSTEP-COLLECTIE,UNIVERSALE DOORSTEP-COLLECTIE,,,,,,,,,,,
#,sciencefunding,PROEFBUIZEN,MICROSCOPEN,ELEKTRONENMICROSCOPEN,DEELTJESVERSNELLERS,,,,,,,,,,,,
#,stateschools,HOUTEN SCHOOLHUTS,GEDEELDE HANDBOEKEN,MODERNE HANDBOEKEN,STUDENTENLAPTOPS,,,,,,,,,,,,
#,bordercontrols,WILLEKEURIGE PASPOORTCONTROLES,PASPOORTCHEQUES,BIOMETRISCHE CONTROLES,GEWAPENDE WACHTEN,RETINASCANS,,,,,,,,,,,
#,consumerrights,BEPERKTE RECHTEN,RECHT OP RETOURZENDING, GEAUTOMATISEERDE TERUGBETALINGEN, AFKOELPERIODES,,,,,,,,,,,,
#,inheritancetax,75,,,,,,,,,,,,,,,
#,maternityleave, KWARTAALBETALING, HALVE BETALING, DRIE KWARTAAL BETALING, VOLLEDIG BETALING, VOLLEDIG + VADERDAGVERLOF,,,,,,,,,,,
#,spaceprogram,TELESCOPEN,GROTE TELESCOPEN,ARRAYS VAN TELESCOPEN,SATELLIETEN,ONBEMANDE SONDES,HERBRUIKBARE RAKETTEN,HERBRUIKBARE SHUTTLE,RUIMTESTATION,,,,,,,,
#,abortion,TOTAAL VERBOD,LEVENSBEDREIGD,BEPERKTE OMSTANDIGHEDEN,2 GOEDKEURING DOKTERS,OP AANVRAAG,,,,,,,,,,,
#,artssubsidies,PUPPETSHOW,CIRCUSSEN,LAAG BUDGET FILMS,THEATERS,KUNSTGALERIJ,OPERAHUIS,,,,,,,,,,
#,corptax,50,,,,,,,,,,,,,,,
#,capgains,50,,,,,,,,,,,,,,,
#,incometax,90,,,,,,,,,,,,,,,
#,luxtax,90,,,,,,,,,,,,,,,
#,salestax,50,,,,,,,,,,,,,,,
#,junkfood,90,,,,,,,,,,,,,,,
#,tasers,EXTREME GEVALLEN,ZELDZAAM GEBRUIK,GEWOON GEBRUIK,VEELGEKOMEN GEBRUIK,ROUTINE, ALGEMEEN,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,dronestrikes,SURVEILLANCE,INFRASTRUCTUURSLAGEN,CHIRURGISCHE Stakingen,PREVENTIEVE SLAGEN,,,,,,,,,,,,
#,electriccars,OPENBAAR VERVOER,TAXI'S,BAN GAS-AANGEDREVEN AUTO'S,,,,,,,,,,,,,
#,floodawareness,WAARSCHUWINGSSYSTEEM,WAARSCHUWINGSSYSTEEM,VOORSPELLINGSSYSTEEM,LANG TERMIJN VOORSPELLINGSSYSTEEM,,,,,,,,,,,,
#,childpolicy,ONDERWIJSPROGRAMMA,UITZONDERING VOOR TWEEDE KIND,KOSTEN VOOR TWEEDE KIND,VERPLICHTE STERILISATIE,,,,,,,,,,,,
#,rareearth,ONDERZOEKSUBSIDIES,EXPLORATORISCHE MIJNEN,GESELECTEERDE SITES,WIJDVERBREIDE EXTRACTIE,,,,,,,,,,,,
#,driverless,OP PRIVÉ-PERCELEN,OP APARTE STANG,IN METROPOLITAANSE GEBIEDEN,OP SNELWEGEN,,,,,,,,,,,,
#,marsprogramMARS-OBSERVATORIUM, MARS-SATELLIET, MARS-SONDE, AUTONOOM LANDINGSVOERTUIG, BEMANDE MISSIE, MARS-BASIS,,,,,,,,,,
#,research,LABORATORAPPARATUUR,WETENSCHAPPELIJK PERSONEEL,GESPONSORD PROFESSORSHIP,ONDERZOEKSINSTITUUT,,,,,,,,,,,,
#,retirementdisclosure,OPENBARE PENSIOENBEREKENING,STATENPENSIOENINDEX,OPEN INDIVIDUELE PENSIOENREKENINGEN,OPENBARE PARTICULIERE PENSIOENREKENINGEN,LEVENSLANGE INKOMENINDEX,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,automatedtrading,FREQUENTIEBEPERKINGEN,HANDELSVERTRAGINGEN, STROOMONDERBREKERS, HOGE FREQUENTIE VERBOD, TOTAAL VERBOD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,ban,BOETEN,BEPERKINGEN,BAN,,,,,,,,,,,,,
#,cityban,SOMMIGE BEPERKINGEN,ALLEEN COMMERCIEEL,ALLEEN UITGESCHAKELD,TOTALBAN,,,,,,,,,,,,
#,secretcourts, ALLEEN TERRORISME, GEORGANISEERDE MISDAAD, HOOFDMIDDELEN, DAGELIJKSE MISDADEN,,,,,,,,,,,,
#,censorship, NIEUWSBRIEF GECENSUREERD, TELEVISIE BEWAAKT, TELEVISIE & RADIO BEWAAKT, ALLE MEDIA BEWAAKT,,,,,,,,,,,,
#,torturedevices,OVER NUCLEAIRE DREIGINGEN,OP ERNSTIGE BEDREIGINGEN,OVER ALLE BEDREIGINGEN,GEWELDZAME MISDADEN,PREEMPTIEVE MAATREGELEN,,,,,,,,,,,
#,workforunemployedVRIJWILLIGERS VOORKEUR, LANGDURIG WERKLOOS, MEEST WERKLOOS, ALLEN WERKLOOS,,,,,,,,,,,,
#,taxreturnsALLEEN NAMEN EN DATA, ENKELE DETAILS, ALLE DETAILS,,,,,,,,,,,,,
#,foreignchurchban,KLEINERE KERKEN VERBODEN, ALLEMAAL VERBODEN,,,,,,,,,,,,,,
#,flagsoncorners,GROTE STADSTRATEN,MEEST STADSSTRAAT,ELKE STRAAT,,,,,,,,,,,,,
#,nationalnewsanthems,STAATKANALEN,ALLE KANALEN,NIEUWSLEZER ZINGT!,,,,,,,,,,,,,
#,anthemsinschool,LEEFTIJD 16-18,LEEFTIJD 14-18,LEEFTIJD 10-18,ALLE SCHOLEN,,,,,,,,,,,,
#,churchattendance,WAARSCHUWINGEN BIJ NIET-VERBLIJF, BOETES BIJ NIET-VERBLIJF, GEVANGENIS BIJ NIET-VERBLIJF,,,,,,,,,,,,,
#,religiousoath,VOOR MILITAIRE,VOOR POLITICI,VOOR STAATSWERKNEMERS,VOOR ALLE BURGERS,,,,,,,,,,,,
#,religiousbroadcasts,STAAT EIGEN KANAAL,ONDERSTEUNING VOOR ALLE KANALEN,SPECIALE KANALEN,,,,,,,,,,,,,
#,bandivorce,2 JAAR SCHEIDING VEREIST,ALLEEN INDIEN GEVAARLIJKE ECHTGENOOT,VOLLEDIG VERBOD,,,,,,,,,,,,,
#,banhomosexuality,VERBOD PROMOTIE,OPENBAAR UITJE VERBODEN,BESTRAFT MET GEVANGENIS,,,,,,,,,,,,,
#,ceopay,100x GEMIDDELDE,50x GEMIDDELDE,20x GEMIDDELDE,10x GEMIDDELDE,5x GEMIDDELDE,,,,,,,,,,,
#,unionban,STEM NODIG, BEDRIJVEN DISCRETIE, TOTAAL VERBOD,,,,,,,,,,,,,
#,closeairports,VRACHT,BINNENLANDS,INTERNATIONAAL,LANG-HAUL,ALLE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,righttodie, IN EXTREME OMSTANDIGHEDEN, OVEREENKOMST VOOR MEERDERE ARTSEN, OVEREENKOMST VOOR ENKELE ARTS, OVEREENKOMST MET FAMILIE, NAAR WIL,,,,,,,,,,,
#,righttoprivacy,SOMMIGE BEPERKINGEN,BELANGRIJKE BEPERKINGEN,TOTAAL TRACKINGVERBOD,,,,,,,,,,,,,
#,gendertransition, ARTSENOVEREENKOMST PLUS LEEFTIJDSBEPERKING, ARTSENOVEREENKOMST, AT WILL, GESUBSIDIEERD DOOR STAAT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,reforestation,1 MILJOEN/JAAR,20 MILJOEN/JAAR,40 MILJOEN/JAAR,60 MILJOEN/JAAR,80 MILJOEN/JAAR,100 MILJOEN/JAAR,,,,,,,,,,
#,prisonregime,ZACHT, EVENWICHTIG, HARSH,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,termlength,3 Jaar,4 Jaar,5 Jaar,6 Jaar,7 Jaar,,,,,,,,,,,
#,termlimit,2,3,4,5,GEEN,,,,,,,,,,,
#,gamehunting,ONGEREGLEMENTEERD, LICENTIE, RING AFGEHEMD KOSTEN, VERBODEN,,,,,,,,,,,,
#,languages,BUITENLANDSE ZAKELIJKE TAAL,MEERDERE BUITENLANDSE TALEN,,,,,,,,,,,,,,
#,fgmban,VERBODEN VOOR VROUWEN, VERBODEN (MANN EN VROUW), ZWARE BOETES, GEVANGENIS,,,,,,,,,,,,
#,genderact,RECHTSGELIJKHEID,POSITIEVE ACTIE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,selectiveschooling,GEEN SELECTIE,AFZONDERLIJKE LESSEN,NEUTRAAL,SPECIALE SCHOLEN,SUBSIDIEER BESTE SCHOLEN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,monorail,MONORAIL (85 mph),HIGH-SPEED RAIL (100 mph),KOGELTREINEN (160 mph),MAGLEV-TREINEN (200 mph),HYPERLOOP (340 mph),,,,,,,,,,,
#,nuclearfission,BESLOTEN BESTAANDE,BUITENBEDRIJF BIJ EINDE,LEVENSVERLENGING,UITBREIDING,BREDE UITBREIDING,SUBSIDIES,REUGE SUBSIDIES,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,retirement,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,,,,,,,,,,,,,,,
#,citizenshipforsale,SUPERRIJK,RIJK,BOVENSTE MIDDENKLASSE,MIDDENKLASSE,,,,,,,,,,,,
#,immigrationrules,BELANGRIJKE BEPERKINGEN,GEVAARDIGDE & OUDE TAAL,GEVAARDIGD,MET VACATURE,OPEN GRENZEN,,,,,,,,,,,
