"#,sustainabilitytrust,Aliansi Keberlanjutan,""Anggota 'Aliansi Keberlanjutan' menjelek-jelekkan pemerintah di internet, Aliansi Keberlanjutan secara aktif berkampanye menentang kebijakan pemerintah,""Aliansi Keberlanjutan telah menyerukan pemerintah untuk membatalkan kebijakannya, dan secara resmi mendukung oposisi."""
"#,seniorrightssociety,Masyarakat Hak Lansia,""Masyarakat Hak Lansia"" telah mengkritik pemerintah dalam buletinnya, menggambarkan kebijakan pemerintah sebagai 'aib' dan mendesak anggotanya untuk tidak mendukung Anda.,Masyarakat Hak Lansia telah mengirimkan petisi dalam jumlah besar kepada pemerintah, mengkritik kebijakan Anda saat ini."""
"#,evangelicalalliance,Pasukan Penegak Moral,""Pasukan Penegak Moral telah mengungkapkan kekecewaannya terhadap kebijakan pemerintah,Pasukan Penegak Moral mengadakan pertemuan balai kota untuk mengungkapkan kemarahan mereka terhadap pemerintah saat ini.,Pasukan Penegak Moral secara aktif berkhotbah kepada semua anggotanya untuk menentang pemerintah dan mendukung oposisi."""
"#,liberalleague,Organisasi Revolusioner Liberal,""Organisasi Revolusioner Liberal telah mengkritik kebijakan pemerintah di radio.,Organisasi Revolusioner Liberal mengatakan mereka secara aktif mendorong anggotanya untuk menentang pemerintah saat ini.,Organisasi Revolusioner Liberal mengancam akan mengambil tindakan langsung untuk menunjukkan oposisi mereka terhadap pemerintah saat ini.,Organisasi Revolusioner Liberal mengancam akan mengambil tindakan langsung untuk menunjukkan oposisi mereka terhadap pemerintah saat ini."""
"#,marxismnow,Aliansi Kerakyatan Proletar,""Aliansi Kerakyatan Proletar sangat kritis terhadap kebijakan pemerintah saat ini.,Aliansi Kerakyatan Proletar telah menyatakan pemerintah tidak sah dan mendesak para pendukungnya untuk menentangnya 'dengan segala cara'.,Aliansi Kerakyatan Proletar secara aktif mendesak anggotanya untuk mengambil tindakan non-pemerintah, tindakan kekerasan terhadap kebijakan pemerintah."""
"#,campaignforfamilyvalues,Kampanye Untuk Nilai-Nilai Keluarga,""Kampanye Untuk Nilai-Nilai Keluarga telah berbicara keras menentang kebijakan pemerintah.,Kampanye Untuk Nilai-Nilai Keluarga melancarkan kampanye online melawan pemerintah.,Kampanye Untuk Nilai-Nilai Keluarga mengatakan bahwa mereka akan menentang kebijakan pemerintah dengan segala cara."""
"#,defendersoftheflag,Pasukan Penegak Moral ,""Pasukan Penegak Moral mengkritik kebijakan pemerintah dalam selebaran mereka.,Pasukan Penegak Moral telah memperingatkan bahwa hal itu akan mengganggu pertemuan dan acara pemerintah untuk membuat oposisinya terasa.,Pasukan Penegak Moral telah menolak untuk mengesampingkan tindakan fisik langsung terhadap pemerintah saat ini."""
#,environmentalalliance,'Penegak Keadilan Bumi,''Penegak Keadilan Bumi mengkritik kebijakan pemerintah di forum online, 'Penegak Keadilan Bumi telah memperingatkan bahwa adalah tugas anggotanya untuk 'melawan kebijakan pemerintah di semua tingkatan'.,'Penegak Keadilan Bumi telah melancarkan protes di rumah pejabat pemerintah.
"#,diversityalliance,Keberagaman Aliansi,""Anggota Keberagaman Aliansi telah menyerukan kepada pemerintah untuk mengubah kebijakannya di banyak bidang.,Keberagaman Aliansi sedang melakukan kampanye online besar-besaran yang mendorong masyarakat untuk menentang kebijakan pemerintah.,""Keberagaman Aliansi telah berjanji untuk membela hak-hak warga negara dari pemerintah, dan 'melawan kekerasan dengan kekerasan'."""
"#,federationofentrepreneurs,Koalisi Elit Revolusi, ""Federasi Pengusaha bernama 'Koalisi Elit Revolusi' telah menyarankan banyak anggotanya untuk menghentikan dukungan terhadap pemerintahan saat ini.,Ketua Kelompok Koalisi Elit Revolusi telah memperingatkan bahwa kebijakan pemerintah saat ini menempatkannya pada jalur yang berbahaya dengan tujuan bisnis besar., bahwa mereka tidak akan berdiam diri dan membiarkan pemerintah menghancurkan dunia usaha lagi."""
#,ruralalliance,Aliansi Pembebasan Agraria,Aliansi Pembebasan Agraria telah secara terbuka mengkritik kebijakan pemerintah mengenai isu-isu pedesaan.,Aliansi Pembebasan Agraria telah memperingatkan bahwa mereka akan melawan serangan terhadap kehidupan pedesaan dengan cara apa pun yang mereka miliki.,Aliansi Pedesaan telah memperingatkan pemerintah bahwa banyak petani dan warga pedesaan merasakan hal yang sama. Mereka 'tidak akan rugi apa-apa' jika harus melawan pemerintah.
"#,angelsofheavelyjustice,Kelompok Sinar Kebenaran, Badan intelijen melaporkan meningkatnya kekhawatiran terhadap organisasi keagamaan ekstremis yang relatif kecil yang dikenal sebagai 'Kelompok Sinar Kebenaran'. Kita harus terus mengawasi aktivitas mereka.,Badan intelijen kami melaporkan keprihatinan serius terhadap tindakan kelompok agama ekstremis yang bernama 'Kelompok Sinar Kebenaran'. Ada ancaman serangan kekerasan yang moderat dari kelompok ini dalam waktu dekat.,""Pakar intelijen kami menyatakan keprihatinan tentang ancaman besar dan kredibel dari 'Kelompok Sinar Kebenaran', organisasi keagamaan ekstremis yang telah menimbulkan banyak korban jiwa. ancaman spesifik terhadap pemerintah."""
#,freedomrebellion,Laskar Bangsa Perkasa, Badan keamanan kami prihatin dengan dukungan yang kuat terhadap kelompok aktivis hak asasi manusia ekstrem yang dikenal sebagai 'Laskar Bangsa Perkasa'. Kelompok ini mungkin menghadirkan ancaman serius di masa depan.,Pakar keamanan kita memperingatkan kita tentang meningkatnya kemampuan dan kekuatan kelompok ekstremis yang dikenal sebagai 'Laskar Bangsa Perkasa'. Kelompok ini memiliki motivasi dan personel untuk melakukan serangan serius terhadap pemerintah kita.,Pakar Intel kami prihatin dengan serangan yang akan segera terjadi terhadap pemerintah oleh kelompok ekstremis populer dan berbahaya yang menamakan diri mereka 'Laskar Bangsa Perkasa'. Kita harus waspada tinggi.
"#,peoplesbrigade,Pasukan Rakyat Tertindas,Kami memantau komunikasi ekstremis yang luas di antara sekelompok aktivis komunis yang menamakan diri mereka 'Pasukan Rakyat Tertindas'. Kita perlu mewaspadai kelompok ini.,Kelompok ekstremis sayap kiri yang dikenal sebagai 'Pasukan Rakyat Tertindas' semakin kuat dan mungkin merupakan ancaman serius bagi pemerintah kita dalam jangka menengah.,""Ada bahaya yang sangat nyata serangan terhadap lembaga-lembaga pemerintah oleh kelompok ekstremis sayap kiri yang disebut 'Pasukan Rakyat Tertindas'. Kelompok ini besar, mempunyai motivasi dan perlengkapan yang baik."""
"#,traditionalvaluesregiment,Resimen Nilai Tradisional,""Pakar keamanan kami melaporkan bahwa mereka telah memantau komunikasi antara anggota kelompok konservatif ekstremis yang disebut 'Resimen Nilai Tradisional', yang mendapat dukungan dari pemilih konservatif."",Pakar Intel kami menunjukkan peningkatan kekhawatiran tentang kemampuan dan motivasi kelompok teror konservatif yang dikenal sebagai 'Resimen Nilai Tradisional'. Kelompok ini harus dianggap sebagai ancaman aktif.,Personel keamanan kami menunjukkan keprihatinan mendesak tentang kemampuan dan motivasi kelompok teror konservatif yang dikenal sebagai 'Resimen Nilai-Nilai Tradisional'. Kelompok ini harus dianggap sebagai bahaya yang nyata dan nyata."
"#,avengersofmotherearth,Pembalas Ibu Pertiwi,""Para ahli di badan intelijen telah menyatakan keprihatinannya terhadap 'Pembalas Ibu Pertiwi', sebuah organisasi pemerhati lingkungan ekstremis yang mungkin merupakan ancaman serius bagi lembaga-lembaga pemerintah."",""Pakar keamanan khawatir bahwa Teror Hijau kelompok yang dikenal sebagai 'Pembalas Ibu Pertiwi' semakin bertumbuh dalam ambisi dan kemampuan, dan merupakan ancaman yang harus ditanggapi dengan sangat serius."",Pakar intelijen kami sangat prihatin dengan ancaman terhadap pemerintah dan rakyat Anda dari sel teroris hijau ekstremis yang disebut 'Pembalas Ibu Pertiwi'."
#,truepatriots,Serikat Rakyat Bebas,Badan keamanan telah mendeteksi pertumbuhan dukungan terhadap organisasi patriotik ekstremis dan memiliki kekhawatiran terhadap kelompok yang disebut 'Serikat Rakyat Bebas'.,Pasukan keamanan kami telah mencegat bukti yang menunjukkan bahwa kelompok teroris patriotik 'Serikat Rakyat Bebas' merupakan ancaman nyata yang perlu diawasi secara ketat.,Kami memiliki bukti bahwa kelompok teror ekstremis 'Serikat Rakyat Bebas' memiliki tenaga dan kemampuan untuk menimbulkan ancaman nyata terhadap pemerintah kami. Kita harus waspada tinggi.
"#,multiculturalwwarriors,Koalisi Pembaruan Demokrasi,""Dinas keamanan kami khawatir bahwa ada elemen ekstremis dalam etnis minoritas yang menyebut diri mereka 'Koalisi Pembaruan Demokrasi', yang mungkin menjadi ancaman serius terhadap hukum dan ketertiban."",Kami memiliki bukti adanya ancaman nyata dari ekstremis kelompok teror etnis yang dikenal sebagai 'Koalisi Pembaruan Demokrasi'. Kelompok ini sekarang dipantau secara aktif jika mereka mencoba melakukan tindakan kekerasan.,Petugas keamanan kami memiliki kekhawatiran serius tentang ancaman teror nyata terhadap kami dari organisasi yang menamakan diri mereka 'Koalisi Pembaruan Demokrasi'. Semua orang waspada terhadap serangan."
"#,theinvisiblehand,Persona Non Grata,Pakar keamanan kami mengkhawatirkan potensi ancaman keamanan dari organisasi bayangan yang didanai dengan sangat baik yang terdiri dari berbagai industrialis kaya yang disebut 'Persona Non Grata'.,Pakar intelijen kami telah menyadap komunikasi yang menunjukkan teror yang didanai perusahaan pro-kapitalis kelompok yang dikenal sebagai 'Persona Non Grata' mungkin sedang mempertimbangkan tindakan terhadap pemerintah kita.,""Meskipun kami tidak dapat membuktikan apa pun, pakar Intel kami yakin bahwa ancaman teror serius dari 'Persona Non Grata' yang misterius sebenarnya didukung langsung oleh perusahaan-perusahaan kaya dan berkuasa."
"#,provincialdefensebrigade, Pasukan Rakyat Merdeka,Staf keamanan kami sekarang secara rutin memantau komunikasi dalam kelompok pengunjuk rasa anti-pemerintah pedesaan yang dikenal sebagai ' Pasukan Rakyat Merdeka' yang menarik dukungan dari petani dan komunitas pedesaan lainnya.,Staf intelijen kami melaporkan bahwa ada yang asli kekhawatiran terhadap aksi teroris dari kelompok penekan pedesaan/kelompok teroris yang menamakan diri mereka ' Pasukan Rakyat Merdeka'.,""Sekarang ada banyak bukti bahwa kelompok teror pedesaan ' Pasukan Rakyat Merdeka' yang sebagian besar terdiri dari petani yang tidak puas, memiliki kemampuan dan tenaga untuk melakukan serangan teroris yang serius terhadap pemerintah kita."""
