#,default,MINIMUM,RENDAH,SEDANG,TINGGI,MAKSIMUM,,,,,,,,,,,
#,tax,75,,,,,,,,,,,,,,,
#,idcards,SUKARELA,SELUAS,WAJIB,BIOMETRIS,DIPAKSAKAN BERAT,,,,,,,,,,,
#,speedcameras,UJI COBA,HOTSPOT KECELAKAAN,LUAR SEKOLAH,DAERAH PERUMAHAN,TERSEBAR LUAS, DI MANA SAJA,,,,,,,,,,
#,militaryspending,HANYA UPACARA, CADANGAN, PERTAHANAN CAHAYA, TERLATIH BAIK, TERLATIH SANGAT, KEKUATAN LUAR BIASA,,,,,,,,,,
#,armedpolice,SSPESIALIS, DI SETIAP DEPT, TERSEBAR, SETIAP PETUGAS BERSENJATA, SENJATA MESIN LAMPU ,,,,,,,,,,,
#,cctv,TEMPAT KEJAHATAN SAJA, PUSAT KOTA, TERSEBAR, SETIAP SUDUT JALAN, SISTEM PENGENALAN WAJAH,,,,,,,,,,,
#,universitygrants,BIAYA YANG DIBAYARKAN SEBAGIAN,BIAYA YANG DIBAYARKAN,HIBAH BAGI SISWA MISKIN,HIBAH SEBAGIAN,HIBAH UNTUK SEMUA,HIBAH BESAR,,,,,,,,,,
#,marriedtax,KECIL, MENGUNTUNGKAN, INSENTIF,,,,,,,,,,,,,
#,gunlaws,TANPA BATAS,TANPA MESIN,TANPA OTOMATIS,PERLU LISENSI,LISENSI & USIA MIN,KONTROL KETAT,LARANGAN TOTAL,,,,,,,,
#,prisons,SEL YANG TERLIBAT,SEL BERBAGI,PERSEDIAAN DASAR,BANGUNAN MODERN,PENJARA TERCANGGIH,,,,,,,,,,,
#,narcotics,DILARANG,OBAT GANJA,BATAS USIA GANGGUAN,LEGALISKAN GANGGUAN,LEGALISKAN LSD,LEGALISKAN HEROIN,LEGALISASI SEMUA OBAT,,,,,,,,
#,internetcensorship,DALAM KASUS EKSTRIM, ATAS PERMINTAAN POLISI, BEBERAPA SITUS DIBLOKIR, SEMUA LALU LINTAS DIMONITOR,,,,,,,,,,,,
#,gambling,TARUHAN TERBATAS, BATAS USIA, TANPA BATAS TARUHAN, TANPA PEMBATASAN,,,,,,,,,,,,,
#,schoolprayers,ATAS PERMINTAAN ORANG TUA, OPSIONAL, SEKALI MINGGUAN, SETIAP HARI, DUA KALI SETIAP HARI,,,,,,,,,,,
#,pollutioncontrols,MONITORING MINIMAL, MONITORING EKSTENSIF, TARGET PEMERINTAH, PEMBATASAN DAN DENDA, DENDA BESAR,,,,,,,,,,,
#,deathpenalty,KHUSUS PEMBUNUH MASAL,UNTUK PEMBUNUHAN, PEMBUNUHAN dan PERKOSAAN,UNTUK KEJAHATAN DENGAN KEKERASAN,UNTUK KEJAHATAN SERIUS,UNTUK KEBANYAKAN KEJAHATAN,,,,,,,,,,
#,jurytrial,DALAM KASUS LUAR BIASA, DALAM KASUS SERIUS, JIKA DIMINTA, TERSEMBUNYI, UNIVERSAL ,,,,,,,,,,,
#,nationalservice,PELATIHAN DASAR, PELAYANAN 3 BULAN, PELAYANAN 6 BULAN, PELAYANAN 1 TAHUN, PELAYANAN BERKALA,,,,,,,,,,,
#,organdonation,DENGAN PERMINTAAN, JIKA DISETUJUI OLEH SERIKAT, PERSETUJUAN YANG DIANGGAPKAN, UNIVERSAL (Tidak ada pilihan untuk keluar),,,,,,,,,,,,
#,alcohollaw,TANPA BATAS,MIN USIA 16,MIN USIA 18,MIN USIA 21,KHUSUS BIR KUAT RENDAH,PEMBATASAN KUAT,,,,,,,,,,
#,healthservice,OPS YANG MENGANCAM HIDUP,SEMUA OPERASI UTAMA,KHUSUS PENYAKIT SERIUS,BEBERAPA PENCEGAHAN,PENYEDIAAN KESEHATAN YANG SANGAT BAIK,,,,,,,,,,,
#,gatedcommunities,BERHASIL, ACUH TAK ACUH, TERSEMBUNYI,,,,,,,,,,,,,,
#,labourlaws,PRO-KARYAWAN,SEIMBANG,PRO-UNION,,,,,,,,,,,,,
#,intel,BEBERAPA MATA-MATA, BADAN MATA-MATA KECIL, BADAN MATA-MATA YANG BESAR, LAYANAN MATA-MATA BERTEKNOLOGI TINGGI, JARINGAN SATELIT MATA-MATA,,,,,,,,,,,
#,roadbuilding,PEMELIHARAAN PENTING, PEMELIHARAAN DASAR, PERBAIKAN JALAN YANG ADA, BEBERAPA EKSPANSI, EKSPANSI UTAMA, JARINGAN JALAN UTAMA BARU ,,,,,,,,,,
#,phonetapping,DENGAN KEPUTUSAN PEMERINTAH, DENGAN PERINTAH PERADILAN, DENGAN PERSETUJUAN KEPOLISIAN, ATAS PERMINTAAN POLISI, PENGGUNAAN SECARA LUAS, PEMANTAUAN UNIVERSAL ,,,,,,,,,,
#,detention,72 JAM,7 HARI,30 HARI,90 HARI,TANPA BATAS,,,,,,,,,,,
#,creationism,FUNDAMENTALIS, PENEKANAN AGAMA, PENEKANAN ILMU PENGETAHUAN, SEKULER, ATEIS,,,,,,,,,,,
#,curfews,UNTUK USIA DI BAWAH 16D, DI AREA TERTENTU, 01.00 SAMPAI 03.00, 12.00 SAMPAI 06.00, 22.00 SAMPAI 08.00,,, ,,,,,,,,
#,welfarefraud,HOTLINE PELAPORAN, KAMPANYE IKLAN PERS, KAMPANYE IKLAN TV, PENYIDIKAN TERTUTUP,,,,,,,,,,,,
#,recycling,KAMPANYE POSTER,BANK BOTOL,PUSAT DAUR ULANG,KOLEKSI PINTU PINTU TERBATAS,KOLEKSI PINTU PINTU UNIVERSAL,,,,,,,,,,,,
#,sciencefunding,TABUNG UJI, MIKROSKOP, MIKROSKOP ELEKTRON, AKSELERASI PARTIKEL,,,,,,,,,,,,
#,stateschools,SEKOLAH KAYU,BUKU PELAJARAN BERBAGI,BUKU PELAJARAN MODERN,LAPTOP SISWA,,,,,,,,,,,,
#,bordercontrols,PEMERIKSAAN PASPOR ACAK,PEMERIKSAAN PASPOR,PEMERIKSAAN BIOMETRIK,PENJAGA BERSENJATA,PEMINDAIAN RETINA,,,,,,,,,,,
#,consumerrights,HAK TERBATAS,HAK MENGEMBALIKAN BARANG,PENGEMBALIAN DANA OTOMATIS,PERIODE PENDINGINAN,,,,,,,,,,,,
#,inheritancetax,75,,,,,,,,,,,,,,,
#,maternityleave,BAYAR KUARTAL, BAYAR SETENGAH, BAYAR TIGA KUARTA, BAYAR PENUH, CUTI LENGKAP + GUNAKAN AYAH,,,,,,,,,,,
#,spaceprogram,TELESKOP, TELESKOP BESAR, ARRAY TELESKOP, SATELIT, ROKET TANPA AWAK, ROKET YANG DAPAT DIGUNAKAN KEMBALI, SHUTTLE YANG DAPAT DIGUNAKAN KEMBALI, STASIUN RUANG ANGKASA,,,,,,,
#,abortion,LARANGAN TOTAL, TERANCAM HIDUP, KEADAAN TERBATAS, PERSETUJUAN 2 DOKTER, SESUAI PERMINTAAN,,,,,,,,,,,
#,artssubsidies,Panggung Boneka, SIRKUSI, FILM ANGGARAN RENDAH, TEATER, GALERI SENI, OPERA HOUSE,,,,,,,,,,
#,corptax,50,,,,,,,,,,,,,,,
#,capgains,50,,,,,,,,,,,,,,,
#,incometax,90,,,,,,,,,,,,,,,
#,luxtax,90,,,,,,,,,,,,,,,
#,salestax,50,,,,,,,,,,,,,,,
#,junkfood,90,,,,,,,,,,,,,,,
#,tasers,KASUS EKSTRIM,PENGGUNAAN LANGKA,PENGGUNAAN TIDAK UMUM,PENGGUNAAN UMUM,RUTIN,UMIQUITOUS,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,dronestrikes,PENGAWASAN, SERANGAN INFRASTRUKTUR, SERANGAN BEDAH, SERANGAN PENCEGAHAN,,,,,,,,,,,,
#,electriccars,ANGKUTAN UMUM,TAKSI,LARANG MOBIL BERTENAGA GAS,,,,,,,,,,,,,
#,floodawareness,SISTEM PERINGATAN,SISTEM PERINGATAN,SISTEM PREDIKSI,SISTEM PREDIKSI JANGKA PANJANG,,,,,,,,,,,,
#,childpolicy,PROGRAM PENDIDIKAN, PENGECUALIAN ANAK KEDUA, BIAYA ANAK KEDUA, STERILISASI WAJIB,,,,,,,,,,,,
#,rareearth,HIBAH PENELITIAN, TAMBANG EKSPLORASI, SITUS TERPILIH, EKSTRAKSI TERSEBUT,,,,,,,,,,,,
#,driverless,DI LOTUS PRIBADI, DI JALUR TERPISAH, DI WILAYAH METROPOLITAN, DI JALAN TOL,,,,,,,,,,,,
#,marsprogram,OBSERVATORIUM MARS,SATELIT MARS,ROKET MARS,KENDARAAN PENDAFTARAN OTOMATIS,MISI BERAWAK,PANGKALAN MARS,,,,,,,,,
#,research,PERALATAN LABORATORIUM, TENAGA ILMIAH, PROFESOR YANG DISPONSORI, LEMBAGA PENELITIAN,,,,,,,,,,,,
#,retirementdisclosure, KALKULATOR PENSIUN PUBLIK, INDEKS PENSIUN NEGARA, BUKA REKENING PENSIUN INDIVIDU, REKENING PENSIUN PUBLIK SWASTA, INDEKS PENDAPATAN SEUMUR HIDUP ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,automated trading, BATAS FREKUENSI, PENUNDAAN PERDAGANGAN, PEMUTUS SIRKUIT, LARANGAN FREKUENSI TINGGI, LARANGAN TOTAL ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,ban,DENDA, PEMBATASAN, LARANGAN,,,,,,,,,,,,,,
#,cityban, BEBERAPA PEMBATASAN, HANYA KOMERSIAL, HANYA DINONAKTIFKAN, TOTALBAN ,,,,,,,,,,,
#,secretcourts,HANYA TERORISME, KEJAHATAN TERORGANISASI, KEJAHATAN MODAL, KEJAHATAN SETIAP HARI,,,,,,,,,,,,
#,censorship, SENSOR SURAT KABAR, MONITOR TELEVISI, MONITOR TELEVISI & RADIO, SEMUA MEDIA DIMONITOR,,,,,,,,,,,,
#,torturedevices,TENTANG ANCAMAN NUKLIR, TENTANG ANCAMAN PARAH, TENTANG SEMUA ANCAMAN, KEJAHATAN DENGAN KEKERASAN, TINDAKAN PENCEGAHAN,,,,,,,,,,,
#,workforunemployed,RELAWAN YANG DIPILIH, PENGANGGURAN JANGKA PANJANG, PALING MENGANGGUR, SEMUA PENGANGGURAN,,,,,,,,,,,,
#,taxreturns,HANYA NAMA DAN TANGGAL, BEBERAPA DETAIL, SEMUA DETAIL,,,,,,,,,,,,,
#,foreignchurchban,TEMPAT IBADAH KECIL DILARANG, SEMUA DILARANG,,,,,,,,,,,,,,
#,flagsoncorners,JALAN KOTA UTAMA, KEBANYAKAN JALAN KOTA, SETIAP JALAN,,,,,,,,,,,,,
#,nationalnewsanthems,SALURAN NEGARA, SEMUA SALURAN, PEMBACA BERITA BERNYANYI!,,,,,,,,,,,,,
#,anthemsinschool,USIA 16-18,USIA 14-18,USIA 10-18,SEMUA SEKOLAH,,,,,,,,,,,,
#,churchattendance,PERINGATAN BAGI YANG TIDAK HADIR, DENDA BAGI YANG TIDAK HADIR, PENJARA BAGI YANG TIDAK HADIR,,,,,,,,,,,,,
#,religiousoath,BAGI MILITER, BAGI POLITIK, BAGI PEGAWAI NEGARA, BAGI SELURUH WARGA NEGARA,,,,,,,,,,,,
#,religiousbroadcasts,SALURAN MILIK NEGARA,DUKUNGAN SEMUA SALURAN,SALURAN KHUSUS,,,,,,,,,,,,,
#,bandivorce,DIPERLUKAN PEMISAHAN 2 TAHUN,HANYA JIKA PASANGAN BERBAHAYA,LARANGAN PENUH,,,,,,,,,,,,,
#,banhomosexuality,LARANGAN PROMOSI, OUTING UMUM DILARANG, HUKUMAN PENJARA,,,,,,,,,,,,,
#,ceopay,RATA-RATA 100x, RATA-RATA 50x, RATA-RATA 20x, RATA-RATA 10x, RATA-RATA 5x,,,,,,,,,,,
#,unionban,SUARA DIPERLUKAN, KEBIJAKSANAAN PERUSAHAAN, LARANGAN TOTAL,,,,,,,,,,,,,
#,closeairports,PENGANGKUTAN, DOMESTIK, INTERNASIONAL, JARAK JAUH, SEMUA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,righttodie,DALAM KEADAAN EKSTRIM, PERJANJIAN GANDA DOKTER, PERJANJIAN DOKTER TUNGGAL, PERJANJIAN KELUARGA, SESUAI KEINGINAN,,,,,,,,,,,
#,righttoprivacy,BEBERAPA PEMBATASAN, PEMBATASAN UTAMA, LARANGAN TREKKING TOTAL,,,,,,,,,,,,,
#,gendertransition,PERJANJIAN DOKTER PLUS BATAS USIA, PERJANJIAN DOKTER, SESUAI KEINGINAN, DISUBSIDI OLEH NEGARA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,reforestation,1 JUTA/TAHUN,20 JUTA/TAHUN,40 JUTA/TAHUN,60 JUTA/TAHUN,80 JUTA/TAHUN,100 JUTA/TAHUN,,,,,,,,,,
#,prisonregime,LEMBUT, SEIMBANG, KERAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,termlength,3 Tahun,4 Tahun,5 Tahun,6 Tahun,7 Tahun,,,,,,,,,,,
#,termlimit,2,3,4,5,TIDAK ADA,,,,,,,,,,,,
#,gamehunting,TIDAK DIATUR, BERIZIN, BIAYA IZIN, DILARANG,,,,,,,,,,,,
#,languages,BAHASA BISNIS ASING, BERBAGAI BAHASA ASING,,,,,,,,,,,,,,
#,fgmban,DILARANG BAGI WANITA,DILARANG (LAKI-LAKI & WANITA),DENDA BERAT,PENJARA,,,,,,,,,,,,
#,genderact,KESETARAAN HUKUM, TINDAKAN POSITIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,selectiveschooling,TIDAK ADA SELEKSI, KELAS TERPISAH, NETRAL, SEKOLAH BERDEDIKASI, SUBSIDI SEKOLAH TERBAIK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,monorail,MONORAIL (85 MPH), KERETA API KECEPATAN TINGGI (100 MPH), KERETA PELURUT (160 MPH), KERETA MAGLEV (200 MPH), HYPERLOOP (340 MPH),,,,,,,,,,
#,nuclearfission,DEKOMISI YANG ADA, DEKOMISI DI AKHIR HIDUP, MEMPERPANJANG HIDUP, EKSPANSI, EKSPANSI YANG LUAS, SUBSIDI, SUBSIDI BESAR,,,,,,,,
,,,,,,,,,,,,,,,,,
#,retirement,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,,,,,,,,,,,,,,,
#,citizenshipforsale,SUPER KAYA,KAYA, KELAS MENENGAH ATAS, KELAS MENENGAH,,,,,,,,,,,,
#,immigrationrules,BATASAN UTAMA,BAHASA KETERAMPILAN & ASLI, KETERAMPILAN, DENGAN PENAWARAN KERJA, BATAS TERBUKA,,,,,,,,,,,
#,refugeepolicy,LARANGAN TOTAL, HANYA DARI ZONA PERANG, ZONA PERANG & BENCANA, LARI DARI PENGANIAYAAN, TIDAK ADA PEMERIKSAAN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,competitionlaw,PRO BISNIS BESAR,SEIMBANG,PRO BISNIS KECIL,,,,,,,,,,,,,
