token,name,title,text
,,,
***Misc,,,
#,Welcome,Selamat datang!,""Selamat datang di Demokrasi 4! Anda baru saja memulai masa jabatan pertama Anda sebagai <PRESIDENT>, dan sebagai Kepala Staf Anda, saya di sini untuk menjelaskan cara kerjanya. Ikon di bawah ini menunjukkan beberapa indikator utama negara negara kami. Semoga Anda dapat mengubah keadaan menjadi lebih baik, dan terpilih kembali setelah masa jabatan Anda habis! Tekan tombol di jendela di bawah (bertanda """"Mulai masa jabatan"""") untuk mulai memerintah..."""
#,MainScreen,Layar Utama,""Dari sini Anda dapat mensurvei keadaan negara kita saat ini. Ini mungkin terlihat rumit, tetapi semua komponen bekerja dengan cara yang sangat mirip. Ikon-ikon tersebut mewakili berbagai objek dalam perekonomian atau masyarakat, termasuk kebijakan, undang-undang, kelompok pemilih dan nilai-nilai untuk konsep-konsep penting seperti tingkat kesehatan dan pendidikan warga negara kita. Klik tombol berikutnya."""
#,VoterStrips,Pemilih,""Strip di sebelah kiri layar ini mewakili kelompok pemilih, dengan bilah kemajuan berwarna yang menunjukkan betapa senangnya mereka terhadap pemerintah Anda. Area yang lebih terang di belakang teks menunjukkan persentase pemilih kami di masing-masing kelompok tersebut. Salah satu konsep utama Demokrasi 4 adalah memahami bahwa setiap pemilih dapat menjadi anggota dari banyak kelompok pemilih yang berbeda sekaligus, dan sejauh mana mereka mengidentifikasi diri dengan kelompok tersebut dapat bervariasi kelompok untuk sepenuhnya menyetujuimu, karena ada pula yang bertolak belakang!"""
#,PolicyIcons,Kebijakan,""Ikon putih adalah kebijakan. Anda memulai permainan dengan beberapa kebijakan yang sudah diterapkan, namun sebagian besar dapat dibatalkan dan banyak lagi yang dapat ditambahkan. Kebijakan tersebut juga dapat disesuaikan. Kebijakan adalah metode utama yang Anda gunakan untuk mengatur negara."""
#,SimIcons,Data,""Ikon biru mewakili data statistik yang relevan dengan negara Anda. Ikon tersebut berkaitan dengan konsep abstrak seperti PDB (produk domestik bruto - Kekuatan perekonomian), kejahatan, atau tingkat pendidikan warga negara Anda. Anda hanya dapat memengaruhi data statistik secara tidak langsung, melalui kebijakan Keputusan. Seperti ikon lainnya, Anda akan menemukannya di 'zona' berbeda di layar tergantung pada bagian ekonomi/masyarakat mana yang diwakilinya (transportasi, pajak, dll...)."""
#,SitIcons,Situasi,""Ikon dengan latar belakang merah atau hijau adalah situasi. Ini adalah peristiwa yang sedang berlangsung di negara Anda dan mungkin berjalan baik (hijau) atau buruk (merah). Anda dapat mendorong situasi yang baik dan mencegah atau memperbaiki situasi buruk melalui pilihan kebijakan Anda."""
#,Connections,Koneksi,""Kebijakan, data, dan situasi saling terhubung melalui 'efek'. Mengarahkan mouse ke salah satu ikon akan menunjukkan bagaimana pengaruh mengalir di antara keduanya, dengan warna hijau berarti efek positif, dan warna merah berarti negatif. Kecepatan aliran juga menunjukkan kekuatan efeknya. Bereksperimenlah dengan ini, lalu tekan 'berikutnya'."""
#,VoterType,Pemilih!,""Mari kita lihat kelompok pemilih tertentu dan cari tahu lebih banyak tentang mereka. Klik pada strip pemilih untuk pemilih 'Berpenghasilan Menengah'."""
#,VoterType2,Tipe Pemilih,""Jendela ini menunjukkan informasi rinci mengenai kelompok pemilih tertentu. Setiap kelompok pemilih mempunyai pendapat dan prioritasnya masing-masing, dan setiap peristiwa atau kebijakan akan mempengaruhi setiap kelompok dengan cara yang berbeda. Bagan saat ini menunjukkan pendapat para pemilih tersebut mengenai waktu, atau Anda dapat memilih pendapatan atau keanggotaan grup mereka dari waktu ke waktu."""
#,VoterType3,Inputs,""Area ini menunjukkan daftar 'masukan' yang berbeda-beda kepada kelompok pemilih ini, dan bagaimana pengaruhnya terhadap kelompok tersebut. Efek hijau adalah baik dan positif, efek merah adalah buruk dan negatif. Dampak tersebut dapat berubah seiring berjalannya waktu seiring dengan kebijakan, situasi atau nilai-nilai berubah. Jumlah dari semua efek ini menentukan bagaimana perasaan kelompok."""
#,VoterType4,Telusuri hingga ke bawah, ""Anda dapat mengklik efek individual sebagai jalan pintas untuk melihat lebih banyak informasi tentang item tersebut. Misalnya, klik pada efek yang menunjukkan pengaruh Pajak Penghasilan terhadap pemilih kelas menengah kita."""
#,IncomeTax1,Pajak Pendapatan,""Dan di sini kita berada di layar detail untuk Pajak Pendapatan! Anda dapat melakukan ini untuk hampir semua dampak antara dua item. Pajak pendapatan adalah sebuah kebijakan (ikon putih), dan layar ini menunjukkan kepada Anda dampak yang ditimbulkan oleh kebijakan tersebut. ."""
#,PolicySlider,Penggeser Kebijakan,""Penggeser digunakan untuk mengontrol kebijakan khusus ini. Anda dapat menggunakannya untuk menaikkan atau menurunkan pajak penghasilan, yang akan mengubah pengaruhnya terhadap semua item terkait, seperti kelompok pemilih, situasi, dan data statistik. Eksperimen dengan penggeser lalu tekan 'berikutnya'."""
#,PolicySlider2,Penggeser Kebijakan,""Anda mungkin memperhatikan bahwa efek menunjukkan dua nilai berbeda saat Anda menggerakkan penggeser, efek saat ini (yang lebih gelap), dan efek dengan penggeser pada posisi barunya. Nilai akan berpindah dari tempatnya semula, ke yang baru posisi terhadap waktu, berdasarkan waktu inersia (dalam jumlah putaran) di ujung kanan setiap efek. Jika nilainya nol, efeknya akan berada pada level baru pada awal putaran berikutnya."""
#,RevertChanges,Kembalikan Perubahan,""Mari kita biarkan apa adanya untuk saat ini. Tekan tombol 'kembalikan perubahan' untuk menunjukkan bahwa kami ingin membiarkan kebijakan ini tidak tersentuh, meskipun telah menyesuaikan bilah gesernya."""
#,QuitPolicy,Keluar dari Layar Kebijakan, ""Baiklah, cukup melihat pajak penghasilan, tekan tombol tutup di kanan atas dan mari kembali ke layar utama."""
#,Situations,Situasi,""Saatnya melihat salah satu situasi yang saat ini mempengaruhi negara kita. Klik salah satu ikon situasi yang Anda ingin informasi lebih lanjut."""
#,Situations2,Situasi,""Ini menunjukkan informasi tentang situasi yang dipilih. Seperti yang Anda lihat, situasi memiliki sebab (di sebelah kiri) dan akibat. Anda tidak dapat mengubah apa pun di sini, yang dapat Anda lakukan hanyalah melihat berbagai akibat. Situasi dapat diakhiri jika Anda cukup mengurangi kekuatan penyebabnya."""
#,Situations3,Pemicu dan Grafik,""Bagan di bagian atas layar ini menunjukkan informasi tentang kekuatan sebenarnya dari situasi ini dari waktu ke waktu, dan dua pemicu. Pemicu yang lebih tinggi adalah nilai yang sebenarnya memicu situasi ini untuk berlaku. Pemicu yang lebih rendah menonaktifkan Akibatnya, lebih mudah memicu suatu situasi daripada mengakhirinya."""
#,Situations4,Situasi, ""Mari kita keluar dari situasi ini dan lihat beberapa data lainnya sekarang. Tekan tombol tutup."""
#,Simvalue,Statistik,""Mari kita lihat jenis ikon terakhir, data statistik. Klik salah satu ikon biru."""
#,Simvalue2,Statistik,""Layar ini menampilkan informasi mengenai statistik nasional. Seperti sebuah situasi, hal ini mempunyai sebab dan akibat Sadarilah bahwa beberapa nilai statistik adalah hal-hal baik yang kita inginkan tinggi (seperti kesehatan) yang lainnya adalah hal-hal buruk yang kita inginkan rendah (seperti kejahatan)."""
#,Simvalue3,Statistik, ""Tidak ada yang bisa kita ubah di sini, jadi mari kita tekan tombol tutup dan kembali ke layar utama lagi."""
#,PoliticalCapital,Modal Politik,""Perhatikan nilai di ikon tengah ini. Ini adalah 'modal politik', yang mewakili jumlah dukungan yang dimiliki pemerintah Anda untuk menyelesaikan sesuatu. Anda memiliki jumlah modal politik yang terbatas per giliran (setiap giliran adalah seperempat tahun), Ketika Anda kehabisan, Anda harus mengakhiri giliran untuk mendapatkan lebih banyak. Beberapa modal politik dapat dibawa ke giliran berikutnya, tapi tidak semua. Klik ikon untuk detailnya."""
#,PoliticalCapital2,Modal Politik,""Modal politik digunakan ketika Anda menyesuaikan kebijakan, membatalkannya atau memperkenalkan kebijakan baru. Kebijakan yang berbeda memerlukan jumlah yang berbeda, tergantung pada seberapa kontroversial kebijakan tersebut. Modal dihasilkan oleh menteri, popularitas Anda, dan seberapa dramatis Anda memenangkan pemilu sebelumnya ."""
#,PoliticalCapital3,Modal Politik, ""Mari kembali ke layar utama. Tutup jendela modal politik untuk saat ini."""
#,NewPolicy1,Kebijakan Baru,""Oke, saatnya melihat cara membuat kebijakan baru. Klik tombol kebijakan baru."""
#,NewPolicy2,Kebijakan Baru,""Ini adalah kebijakan baru yang telah disiapkan oleh penasihat untuk Anda pilih. Kebijakan dibagi ke dalam kategori yang terlihat pada tab di sebelah kiri. Rincian kebijakan yang dipilih ada di sebelah kanan. Kebijakan yang berwarna merah saat ini tidak dapat dilaksanakan karena kurangnya modal politik. Pilih kebijakan lalu tekan tombol implementasi."""
#,NewPolicy3,Kebijakan Baru,""Ini adalah kebijakan baru yang Anda pilih untuk diterapkan. Anda dapat menyesuaikan bilah geser pada kebijakan baru secara gratis (tanpa menghabiskan modal politik). Ketahuilah bahwa beberapa kebijakan memerlukan waktu untuk diterapkan yang berarti perlu beberapa saat sebelum kebijakan tersebut dapat diterapkan. sudah beroperasi penuh. Untuk saat ini, mari kembali ke layar utama. Tekan tombol tutup di kanan atas."""
