#,default, МІНІМАЛЬНИЙ, НИЗЬКИЙ, СЕРЕДНІЙ, ВИСОКИЙ, МАКСИМАЛЬНИЙ,,,,,,,,,,,
#,tax,75,,,,,,,,,,,,,,,
#,idcards, ДОБРОВІЛЬНИЙ, ШИРОКО ПОШИРЕНИЙ, ОБОВ'ЯЗКОВИЙ, БІОМЕТРИЧНИЙ, ЖОРСТКО ДОТРИМУВАНИЙ,,,,,,,,,,,
#,speedcameras, СУДОВІ ПРОЦЕСИ, ГАРЯЧІ ТОЧКИ НЕЩАСНИХ ВИПАДКІВ, ЗА МЕЖАМИ ШКІЛ, ЖИТЛОВИХ РАЙОНІВ, ШИРОКО ПОШИРЕНІ, ВСЮДИ,,,,,,,,,,
#,militaryspending, ТІЛЬКИ ДЛЯ ЦЕРЕМОНІЙ, РЕЗЕРВІСТИ, ЛЕГКА ОБОРОНА, ДОБРЕ НАВЧЕНІ, ВИСОКОПРОФЕСІЙНІ, ПЕРЕВАЖНІ СИЛИ,,,,,,,,,,
#,armedpolice, ФАХІВЦІ В КОЖНОМУ ВІДДІЛІ, ШИРОКО ПОШИРЕНІ, КОЖЕН ОФІЦЕР ОЗБРОЄНИЙ АВТОМАТАМИ,,,,,,,,,,,
#,cctv, ТІЛЬКИ МІСЦЯ СКОЄННЯ ЗЛОЧИНІВ, ЦЕНТРИ МІСТ, ПОВСЮДНО, НА КОЖНОМУ РОЗІ, СИСТЕМА РОЗПІЗНАВАННЯ ОСІБ,,,,,,,,,,,
#,universitygrants, ЧАСТКОВІ ВНЕСКИ СПЛАЧЕНІ, ЗБОРИ СПЛАЧЕНІ, ГРАНТИ ДЛЯ БІДНИХ СТУДЕНТІВ, ЧАСТКОВІ ГРАНТИ, ГРАНТИ ДЛЯ ВСІХ, ЩЕДРІ ГРАНТИ,,,,,,,,,,
#,marriedtax, НЕВЕЛИКИЙ, ВИГІДНИЙ, СТИМУЛЮЮЧИЙ,,,,,,,,,,,,,
#,gunlaws, НІЯКИХ ОБМЕЖЕНЬ, НІЯКИХ КУЛЕМЕТІВ, НІЯКОЇ АВТОМАТИКИ, ПОТРІБНА ЛІЦЕНЗІЯ, МІНІМАЛЬНИЙ ВІК ЛІЦЕНЗІЇ, СУВОРИЙ КОНТРОЛЬ, ПОВНА ЗАБОРОНА,,,,,,,,,
#,prisons, ПЕРЕПОВНЕНІ КАМЕРИ, ЗАГАЛЬНІ КАМЕРИ, БАЗОВЕ ЗАБЕЗПЕЧЕННЯ, СУЧАСНІ БУДІВЛІ, В'ЯЗНИЦІ ЗА ОСТАННІМ СЛОВОМ ТЕХНІКИ,,,,,,,,,,,
#,narcotics, ЗАБОРОНЕНИЙ, ЛІКАРСЬКИЙ КАННАБІС, ВІКОВЕ ОБМЕЖЕННЯ ЩОДО КАНАБІСУ, ЛЕГАЛІЗУЙТЕ КАННАБІС, ЛЕГАЛІЗУЙТЕ ЛСД, ЛЕГАЛІЗУЙТЕ ГЕРОЇН, ЛЕГАЛІЗУЙТЕ ВСІ НАРКОТИКИ,,,,,,,,,
#,internetcensorship, В КРАЙНІХ ВИПАДКАХ, ЗА ЗАПИТОМ ПОЛІЦІЇ, ДЕЯКІ САЙТИ БЛОКУВАЛИСЯ, ВЕСЬ ТРАФІК КОНТРОЛЮВАВСЯ,,,,,,,,,,,,
#,gambling, ОБМЕЖЕНІ СТАВКИ, ВІКОВЕ ОБМЕЖЕННЯ, БЕЗ ОБМЕЖЕННЯ СТАВОК, БЕЗ ОБМЕЖЕНЬ,,,,,,,,,,,,,
#,schoolprayers, ЗА БАЖАННЯМ БАТЬКІВ, НЕОБОВ'ЯЗКОВО, ОДИН РАЗ НА ТИЖДЕНЬ, ЩОДНЯ, ДВА РАЗИ НА ДЕНЬ,,,,,,,,,,,
#,pollutioncontrols, МІНІМАЛЬНИЙ МОНІТОРИНГ, ВЕЛИКИЙ МОНІТОРИНГ, ДЕРЖАВНІ ЦІЛІ, ОБМЕЖЕННЯ ТА ШТРАФИ, ВЕЛИКІ ШТРАФИ,,,,,,,,,,,
#,deathpenalty, ТІЛЬКИ МАСОВІ ВБИВЦІ, ЗА ВБИВСТВО, ЗА ВБИВСТВО І ЗГВАЛТУВАННЯ, ЗА НАСИЛЬНИЦЬКІ ЗЛОЧИНИ, ЗА СЕРЙОЗНІ ЗЛОЧИНИ, ЗА БІЛЬШІСТЬ ЗЛОЧИНІВ,,,,,,,,,,
#,jurytrial, У ВИНЯТКОВИХ ВИПАДКАХ, У СЕРЙОЗНИХ ВИПАДКАХ, ЗА ЗАПИТОМ-ШИРОКО ПОШИРЕНИЙ, УНІВЕРСАЛЬНИЙ,,,,,,,,,,,
#,nationalservice, БАЗОВА ПІДГОТОВКА, 3 МІСЯЦІ СЛУЖБИ, 6 МІСЯЦІВ СЛУЖБИ, 1 РІК СЛУЖБИ, ПЕРІОДИЧНЕ ОБСЛУГОВУВАННЯ,,,,,,,,,,,
#,organdonation, За запитом, з схвалення найближчих родичів, передбачувана згода, універсальне(без відмови),,,,,,,,,,,,
#,alcohollaw, БЕЗ ОБМЕЖЕНЬ, МІНІМАЛЬНИЙ ВІК 16, МІНІМАЛЬНИЙ ВІК 18, МІНІМАЛЬНИЙ ВІК 21 РІК, ТІЛЬКИ ПИВО НИЗЬКОЇ МІЦНОСТІ, СУВОРІ ОБМЕЖЕННЯ,,,,,,,,,,
#,healthservice, ОПЕРАЦІЇ, ЩО ЗАГРОЖУЮТЬ ЖИТТЮ, ВСІ ВЕЛИКІ ОПЕРАЦІЇ, ТІЛЬКИ СЕРЙОЗНІ ЗАХВОРЮВАННЯ, ДЕЯКА ПРОФІЛАКТИКА, ВІДМІННЕ МЕДИЧНЕ ЗАБЕЗПЕЧЕННЯ,,,,,,,,,,,
#,gatedcommunities, ЗБЕНТЕЖЕНИЙ, БАЙДУЖИЙ, ПІДБАДЬОРЕНИЙ,,,,,,,,,,,,,
#,labourlaws, Прихильник роботодавця, збалансований, який виступає за профспілку,,,,,,,,,,,,,
#,intel, КІЛЬКА ШПИГУНІВ, НЕВЕЛИКЕ ШПИГУНСЬКЕ АГЕНТСТВО, ВЕЛИКЕ ШПИГУНСЬКЕ АГЕНТСТВО, ВИСОКОТЕХНОЛОГІЧНА ШПИГУНСЬКА СЛУЖБА, ШПИГУНСЬКА СУПУТНИКОВА МЕРЕЖА,,,,,,,,,,,
#,roadbuilding, ОСНОВНЕ ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ, БАЗОВЕ ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ, ВІДРЕМОНТОВАНІ ІСНУЮЧІ ДОРОГИ, ДЕЯКЕ РОЗШИРЕННЯ, ВЕЛИКЕ РОЗШИРЕННЯ, ВЕЛИКІ НОВІ ДОРОЖНІ МЕРЕЖІ,,,,,,,,,,
#,phonetapping, З УКАЗОМ УРЯДУ, З СУДОВИМ НАКАЗОМ, ЗА ЗГОДОЮ НАЧАЛЬНИКА ПОЛІЦІЇ, ЗА ЗАПИТОМ ПОЛІЦІЇ, ШИРОКЕ ВИКОРИСТАННЯ, ЗАГАЛЬНИЙ МОНІТОРИНГ,,,,,,,,,,,
#,detention, 72 ГОДИНИ, 7 ДНІВ, 30 ДНІВ, 90 ДНІВ, НЕОБМЕЖЕНИЙ,,,,,,,,,,,
#,creationism, ФУНДАМЕНТАЛІСТ, РЕЛІГІЙНИЙ АКЦЕНТ, НАУКОВИЙ АКЦЕНТ, СВІТСЬКИЙ, АТЕЇСТ,,,,,,,,,,,
#,curfews, ДЛЯ ДІТЕЙ МОЛОДШЕ 16 РОКІВ, В ПЕВНИХ РАЙОНАХ, З 1:00 ДО 3:00, З 12:00 ДО 6:00, З 10:00 ДО 8: 00,,, ,,,,,,,,
#,welfarefraud, ГАРЯЧА ЛІНІЯ ДЛЯ РЕПОРТАЖІВ, РЕКЛАМНІ КАМПАНІЇ В ПРЕСІ, ТЕЛЕВІЗІЙНІ РЕКЛАМНІ КАМПАНІЇ, ТАЄМНІ СЛІДЧІ,,,,,,,,,,,,
#,recycling, РЕКЛАМНА КАМПАНІЯ, БАНКИ ДЛЯ ПЛЯШОК, ЦЕНТРИ ПЕРЕРОБКИ ВІДХОДІВ, ОБМЕЖЕНА КОЛЕКЦІЯ НА ПОРОЗІ, УНІВЕРСАЛЬНА КОЛЕКЦІЯ НА ПОРОЗІ,,,,,,,,,,,
#,sciencefunding, ПРОБІРКИ, МІКРОСКОПИ, ЕЛЕКТРОННІ МІКРОСКОПИ, ПРИСКОРЮВАЧІ ЧАСТИНОК,,,,,,,,,,,,
#,stateschools, ДЕРЕВ'ЯНІ ШКІЛЬНІ БУДКИ, ЗАГАЛЬНІ ПІДРУЧНИКИ, СУЧАСНІ ПІДРУЧНИКИ, СТУДЕНТСЬКІ НОУТБУКИ,,,,,,,,,,,,
#,bordercontrols, ВИБІРКОВІ ПЕРЕВІРКИ ПАСПОРТІВ, ПАСПОРТНІ ПЕРЕВІРКИ, БІОМЕТРИЧНІ ПЕРЕВІРКИ, ОЗБРОЄНА ОХОРОНА, СКАНУВАННЯ СІТКІВКИ ОКА,,,,,,,,,,,
#,consumerrights, ОБМЕЖЕНІ ПРАВА, ПРАВО НА ПОВЕРНЕННЯ ТОВАРУ, АВТОМАТИЧНІ ПОВЕРНЕННЯ, ПЕРІОДИ ОЧІКУВАННЯ,,,,,,,,,,,,
#,inheritancetax,75,,,,,,,,,,,,,,,
#,maternityleave, ЩОКВАРТАЛЬНА ОПЛАТА, ПОЛОВИННА ОПЛАТА, ТРИРАЗОВА ОПЛАТА, ПОВНА ОПЛАТА, ПОВНА + ВІДПУСТКА ПО ДОГЛЯДУ ЗА ДИТИНОЮ,,,,,,,,,,,
#,spaceprogram, ТЕЛЕСКОПИ, ВЕЛИКІ ТЕЛЕСКОПИ, МАСИВИ ТЕЛЕСКОПІВ, СУПУТНИКИ, БЕЗПІЛОТНІ ЗОНДИ, БАГАТОРАЗОВІ РАКЕТИ, БАГАТОРАЗОВИЙ ШАТТЛ, КОСМІЧНА СТАНЦІЯ,,,,,,,,
#,abortion, ПОВНА ЗАБОРОНА, ЗАГРОЗА ЖИТТЮ, ОБМЕЖЕНІ ОБСТАВИНИ, СХВАЛЕННЯ 2 ЛІКАРІВ, НА ВИМОГУ,,,,,,,,,,,
#,artssubsidies, ЛЯЛЬКОВА ВИСТАВА, ЦИРКИ, МАЛОБЮДЖЕТНІ ФІЛЬМИ, ТЕАТРИ, ХУДОЖНЯ ГАЛЕРЕЯ, ОПЕРНИЙ ТЕАТР,,,,,,,,,,
#,corptax,50,,,,,,,,,,,,,,,
#,capgains,50,,,,,,,,,,,,,,,
#,incometax,90,,,,,,,,,,,,,,,
#,luxtax,90,,,,,,,,,,,,,,,
#,salestax,50,,,,,,,,,,,,,,,
#,junkfood,90,,,,,,,,,,,,,,,
#,tasers,, КРАЙНІ ВИПАДКИ, РІДКІСНЕ ВИКОРИСТАННЯ, НЕТИПОВЕ ВИКОРИСТАННЯ, ЗВИЧАЙНЕ ВИКОРИСТАННЯ, РУТИННЕ, ПОВСЮДНЕ,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,dronestrikes, ВІДЕОСПОСТЕРЕЖЕННЯ, ІНФРАСТРУКТУРА УДАРИ, ТОЧКОВІ УДАРИ, ПРЕВЕНТИВНІ УДАРИ,,,,,,,,,,,, 
#,electriccarsГРОМАДСЬКИЙ ТРАНСПОРТ, ТАКСІ, ЗАБОРОНА ГАЗОВИХ АВТОМОБІЛІВ,,,,,,,,,,,,, 
#,floodawareness, СИСТЕМИ ОПОВІЩЕННЯ, СИСТЕМИ ОПОВІЩЕННЯ, СИСТЕМИ ПРОГНОЗУ, ДОВГОСТРОКОВЕ ПРОГНОЗУВАННЯ,,,,,,,,,,,, 
#,childpolicy, ОСВІТНЬОЇ ПРОГРАМИ, ВИКЛЮЧЕННЯ ДЛЯ ДРУГОЇ ДИТИНИ, ПЛАТЕЖІ ЗА ДРУГУ ДИТИНУ, ОБОВ'ЯЗКОВОЇ СТЕРИЛІЗАЦІЇ,,,,,,,,,,,, 
#,rareearth, ДОСЛІДНИЦЬКІ ГРАНТИ, РОЗВІДУВАЛЬНИХ ШАХТ, ОКРЕМИХ ДІЛЯНКАХ ШИРОКО ПОШИРЕНА ВИДОБУТОК,,,,,,,,,,,, 
#,driverless, НА ПРИВАТНИХ ДІЛЯНКАХ, НА ОКРЕМУ СМУГУ,В МЕГАПОЛІСАХ НА МАГІСТРАЛЯХ,,,,,,,,,,,,
#,marsprogram, МАРСІАНСЬКА ОБСЕРВАТОРІЯ, СУПУТНИК МАРСА, МАРСІАНСЬКИЙ ЗОНД, АВТОНОМНИЙ ПОСАДКОВИЙ АПАРАТ, ПІЛОТОВАНА МІСІЯ, МАРСІАНСЬКА БАЗА,,,,,,,,,,
#,research, ЛАБОРАТОРНЕ ОБЛАДНАННЯ, НАУКОВИЙ ПЕРСОНАЛ, СПОНСОРОВАНА ПРОФЕСУРА, НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ,,,,,,,,,,,,
#,retirementdisclosure, ДЕРЖАВНИЙ ПЕНСІЙНИЙ КАЛЬКУЛЯТОР, ДЕРЖАВНА ПЕНСІЯ ІНДЕКС, ВІДКРИТІ ІНДИВІДУАЛЬНІ ПЕНСІЙНІ РАХУНКИ, ДЕРЖАВНІ ПРИВАТНІ ПЕНСІЙНІ РАХУНКИ, ІНДЕКС ДОВІЧНОГО ДОХОДУ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,automatedtrading, ОБМЕЖЕННЯ ЧАСТОТИ, ЗАТРИМКИ ТОРГІВЛІ, АВТОМАТИЧНІ ВИМИКАЧІ, ЗАБОРОНА ВИСОКИХ ЧАСТОТ, ПОВНА ЗАБОРОНА,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,ban, ШТРАФИ, ОБМЕЖЕННЯ, ЗАБОРОНА,,,,,,,,,,,,,
#,cityban, ДЕЯКІ ОБМЕЖЕННЯ, ТІЛЬКИ ДЛЯ КОМЕРЦІЙНИХ ЦІЛЕЙ, ТІЛЬКИ ДЛЯ ВІДКЛЮЧЕНИХ, TOTALBAN,,,,,,,,,,,,
#,secretcourts, ТІЛЬКИ ТЕРОРИЗМ, ОРГАНІЗОВАНА ЗЛОЧИННІСТЬ, ЗЛОЧИНИ, ЩО КАРАЮТЬСЯ СМЕРТНОЮ КАРОЮ, ПОБУТОВІ ЗЛОЧИНИ,,,,,,,,,,,,
#,censorship, ГАЗЕТИ ПІДДАЮТЬСЯ ЦЕНЗУРІ, ТЕЛЕБАЧЕННЯ КОНТРОЛЮЄТЬСЯ, ТЕЛЕБАЧЕННЯ І РАДІО КОНТРОЛЮЮТЬСЯ, ВСЕ МОНІТОРИНГ ЗАСОБІВ МАСОВОЇ ІНФОРМАЦІЇ,,,,,,,,,,,,
#,torturedevices, ПРО ЯДЕРНІ ЗАГРОЗИ, ПРО СЕРЙОЗНІ ЗАГРОЗИ, ПРО ВСІ ЗАГРОЗИ, НАСИЛЬНИЦЬКІ ЗЛОЧИНИ, ПРЕВЕНТИВНІ ЗАХОДИ,,,,,,,,,,,
#,workforunemployed, ПЕРЕВАГА ВІДДАЄТЬСЯ ДОБРОВОЛЬЦЯМ, ДОВГОСТРОКОВО БЕЗРОБІТНИМ, БІЛЬШОСТІ БЕЗРОБІТНИХ, ВСІМ БЕЗРОБІТНИМ,,,,,,,,,,,,
#,taxreturns,,, ТІЛЬКИ ІМЕНА ТА ДАТИ, ДЕЯКІ ДЕТАЛІ, ВСІ ДЕТАЛІ,,,,,,,,,,,,,
#,foreignchurchban, НЕЗНАЧНІ ЦЕРКВИ ЗАБОРОНЕНІ, ВСІ ЗАБОРОНЕНІ,,,,,,,,,,,,,,
#,flagsoncorners, ГОЛОВНІ МІСЬКІ ВУЛИЦІ, БІЛЬШІСТЬ МІСЬКИХ ВУЛИЦЬ, КОЖНА ВУЛИЦЯ,,,,,,,,,,,,,
#,nationalnewsanthems, ДЕРЖАВНІ КАНАЛИ, ВСІ КАНАЛИ, ДИКТОР СПІВАЄ!,,,,,,,,,,,,,
#,anthemsinschool, ВІК 16-18, ВІК 14-18, ВІК 10-18, ВСІ ШКОЛИ,,,,,,,,,,,,
#,churchattendance, ПОПЕРЕДЖЕННЯ ЗА НЕЯВКУ, ШТРАФИ ЗА НЕЯВКУ, ТЮРЕМНЕ УВ'ЯЗНЕННЯ ЗА НЕЯВКУ,,,,,,,,,,,,,
#,religiousoath, ДЛЯ ВІЙСЬКОВИХ, ДЛЯ ПОЛІТИКІВ, ДЛЯ ДЕРЖАВНИХ СЛУЖБОВЦІВ, ДЛЯ ВСІХ ГРОМАДЯН,,,,,,,,,,,,,
#,religiousbroadcasts, ДЕРЖАВНИЙ КАНАЛ, ПІДТРИМКА ВСІХ КАНАЛІВ, ВИДІЛЕНІ КАНАЛИ,,,,,,,,,,,,,
#,bandivorce, 2 ПОТРІБНА РІЧНА РОЗЛУКА, ТІЛЬКИ ЯКЩО ЧОЛОВІК НЕБЕЗПЕЧНИЙ, ПОВНА ЗАБОРОНА,,,,,,,,,,,,,
#,banhomosexuality, ЗАБОРОНИТИ ПРОПАГАНДУ, ПУБЛІЧНИЙ ВИХІД ЗАБОРОНЕНИЙ, КАРАЄТЬСЯ ТЮРЕМНИМ УВ'ЯЗНЕННЯМ,,,,,,,,,,,,,
#,ceopay, Середнє значення в 100 разів, середнє значення в 50 разів, середнє значення в 20 разів, середнє значення в 10 разів, середнє значення в 5 разів,,,,,,,,,,,
#,unionban, НЕОБХІДНЕ ГОЛОСУВАННЯ, РОЗСУД КОМПАНІЙ, ПОВНА ЗАБОРОНА,,,,,,,,,,,,,
#,closeairports, ВАНТАЖОПЕРЕВЕЗЕННЯ, ВНУТРІШНІ, МІЖНАРОДНІ, ДАЛЕКОМАГІСТРАЛЬНІ, ВСІ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,righttodie, В ЕКСТРЕМАЛЬНИХ ОБСТАВИНАХ УГОДА З КІЛЬКОМА ЛІКАРЯМИ, УГОДА З ОДНИМ ЛІКАРЕМ, СІМЕЙНА УГОДА, ЗА БАЖАННЯМ,,,,,,,,,,,
#,righttoprivacy, ДЕЯКІ ОБМЕЖЕННЯ, ОСНОВНІ ОБМЕЖЕННЯ, ПОВНА ЗАБОРОНА ВІДСТЕЖЕННЯ,,,,,,,,,,,,,
#,gendertransition, УГОДА З ЛІКАРЕМ ПЛЮС ВІКОВЕ ОБМЕЖЕННЯ, УГОДА З ЛІКАРЕМ, ЗА БАЖАННЯМ, СУБСИДОВАНА ДЕРЖАВОЮ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,reforestation, 1 МІЛЬЙОН / РІК, 20 МІЛЬЙОНІВ / РІК, 40 МІЛЬЙОНІВ / РІК, 60 МІЛЬЙОНІВ / РІК, 80 МІЛЬЙОНІВ / РІК, 100 МІЛЬЙОНІВ / РІК,,,,,,,,,,
#,prisonregime, НІЖНИЙ, ВРІВНОВАЖЕНИЙ, СУВОРИЙ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,termlength, 3 роки, 4 роки, 5 років, 6 років, 7 років,,,,,,,,,,,
#,termlimit,2,3,4, 5, ні,,,,,,,,,,,,,
#,gamehunting, НЕРЕГУЛЬОВАНІ, ЛІЦЕНЗОВАНІ, ОБГОРОДЖЕНІ КІЛЬЦЕМ ЗБОРИ, ЗАБОРОНЕНІ,,,,,,,,,,,,
#,languages, ІНОЗЕМНА ДІЛОВА МОВА, КІЛЬКА ІНОЗЕМНИХ МОВ,,,,,,,,,,,,,,
#,fgmban, ЗАБОРОНЕНО ДЛЯ ЖІНОК, ЗАБОРОНЕНО (ДЛЯ ЧОЛОВІКІВ І ЖІНОК), ВАЖКЕ ШТРАФИ, ТЮРЕМНЕ УВ'ЯЗНЕННЯ,,,,,,,,,,,,
#,genderact, ЮРИДИЧНА РІВНІСТЬ, ПОЗИТИВНІ ДІЇ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,selectiveschooling, НІЯКОГО ВІДБОРУ, ОКРЕМІ КЛАСИ, НЕЙТРАЛЬНІ, СПЕЦІАЛІЗОВАНІ ШКОЛИ, СУБСИДУВАТИ КРАЩІ ШКОЛИ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,monorail, Монорельсова ДОРОГА (85 МИЛЬ / год), високошвидкісна залізниця (100 МИЛЬ / год), куля поїзда (160 МИЛЬ / год), потяги на магнітній підвісці (200 МИЛЬ / год), HYPERLOOP (340 МИЛЬ / год),,,,,,,,,,,
#,nuclearfission, ВИВЕДЕННЯ З ЕКСПЛУАТАЦІЇ ІСНУЮЧИХ, ВИВЕДЕННЯ З ЕКСПЛУАТАЦІЇ В КІНЦІ ТЕРМІНУ СЛУЖБИ, ПРОДОВЖЕННЯ ТЕРМІНУ СЛУЖБИ, РОЗШИРЕННЯ, ШИРОКОМАСШТАБНА ЕКСПАНСІЯ, СУБСИДІЇ, ЩЕДРІ СУБСИДІЇ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,retirement,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,,,,,,,,,,,,,,,
#,citizenshipforsale, НАДБАГАТИЙ, ЗАМОЖНИЙ, ВИЩИЙ КЛАС, СЕРЕДНІЙ КЛАС,,,,,,,,,,,,
#,immigrationrules, ОСНОВНІ ОБМЕЖЕННЯ, КВАЛІФІКОВАНИЙ ФАХІВЕЦЬ І РІДНА МОВА, КВАЛІФІКОВАНИЙ ФАХІВЕЦЬ, З ПРОПОЗИЦІЄЮ РОБОТИ, ВІДКРИТІ КОРДОНИ,,,,,,,,,,,
#,refugeepolicy, ПОВНА ЗАБОРОНА, ТІЛЬКИ В ЗОНАХ БОЙОВИХ ДІЙ, ЗОНАХ БОЙОВИХ ДІЙ І КАТАСТРОФ, ВТЕЧА ВІД ПЕРЕСЛІДУВАНЬ, НІЯКИХ ПЕРЕВІРОК,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
