token,name,title,text
,,,
***Misc,,,
#,Welcome,Welkom!,"Welkom bij Democracy 4! U bent net begonnen aan uw eerste termijn als <PRESIDENT>, en als uw stafchef ben ik hier om uit te leggen hoe de dingen werken. De onderstaande pictogrammen tonen u enkele belangrijke indicatoren van de staat van ons land . Hopelijk kun je dingen ten goede veranderen en herkozen worden nadat je termijn is afgelopen! Druk op de knop in het onderstaande venster (aangeduid met ""Begin ambtstermijn"") om te beginnen met regeren..."
#,MainScreen,Hoofdscherm,"Vanaf hier kun je de huidige staat van ons land overzien. Het ziet er misschien ingewikkeld uit, maar alle verschillende componenten werken op zeer vergelijkbare manieren. De pictogrammen vertegenwoordigen verschillende objecten in de economie of samenleving, inclusief beleid, wetten, kiezersgroepen en waarden voor belangrijke concepten zoals het gezondheids- en opleidingsniveau van onze burgers. Klik op de volgende knop."
#,VoterStrips, Kiezers,"Deze stroken aan de linkerkant van het scherm vertegenwoordigen groepen kiezers, waarbij de gekleurde voortgangsbalken aangeven hoe blij ze zijn met uw regering. Het lichtere gebied achter de tekst toont het percentage van ons electoraat dat in elk van deze groepen zit. Een van de belangrijkste concepten van Democratie 4 zijn om te begrijpen dat individuele kiezers lid kunnen zijn van veel verschillende kiezersgroepen tegelijk, en de mate waarin ze zich met die groepen identificeren is op zichzelf variabel. Je zult nooit * al * van deze kiezersgroepen krijgen om keuren je helemaal goed, want sommige zijn tegenpolen!"
#,PolicyIcons,beleid,"Witte pictogrammen zijn beleid. Je begint het spel met een aantal die al zijn geïmplementeerd, maar de meeste kunnen worden geannuleerd en nog veel meer kunnen worden toegevoegd. Ze kunnen ook worden aangepast. Beleid is de belangrijkste methode die je gebruikt om het land te besturen."
#,SimIcons,Gegevens,"Blauwe pictogrammen vertegenwoordigen statistische gegevens die relevant zijn voor uw land. Ze hebben betrekking op abstracte concepten zoals BBP (bruto binnenlands product - Kracht van de economie), misdaad of het opleidingsniveau van uw burgers. U kunt statistische gegevens alleen indirect beïnvloeden, via beleidsbeslissingen. Net als de andere iconen, vind je ze in verschillende 'zones' van het scherm, afhankelijk van welk deel van de economie/maatschappij ze vertegenwoordigen (transport, belasting enz...)."
#,SitIcons,Situaties,"Pictogrammen met een rode of groene achtergrond zijn situaties. Dit zijn doorlopende gebeurtenissen die in uw land plaatsvinden en die goed (groen) of slecht (rood) kunnen gaan. U kunt goede situaties aanmoedigen en slechte situaties voorkomen of verhelpen door uw beleidskeuzes. "
#,Connections,Verbindingen,"Beleid, gegevens en situaties zijn met elkaar verbonden via 'effecten'. Als u met uw muis over een van de pictogrammen beweegt, ziet u hoe de invloed tussen de pictogrammen stroomt, waarbij groen een positief effect is en rood een negatief effect. De snelheid van de stroom toont ook de sterkte van het effect. Experimenteer hiermee en druk op 'volgende'."
#,VoterType, Kiezers!,"Laten we eens kijken naar een specifieke groep kiezers en meer over hen te weten komen. Klik op de kiezersstrook voor 'Middle Income'-stemmers."
#,VoterType2, Kiezerstypes,"Dit venster toont gedetailleerde informatie over een specifieke groep kiezers. Elke groep kiezers heeft zijn eigen meningen en prioriteiten, en elke gebeurtenis of elk beleid zal elke groep op verschillende manieren beïnvloeden. De grafiek toont momenteel de mening van deze kiezers in de loop van de tijd, of je kunt hun inkomen of groepslidmaatschap in de loop van de tijd selecteren."
#,VoterType3,Ingangen,"Dit gebied toont een lijst met verschillende 'inputs' voor deze kiezersgroep, en hoe ze de groep laten voelen. Groene effecten zijn goed en positief, rode effecten zijn slecht en negatief. Die effecten kunnen in de loop van de tijd veranderen als beleid, situaties of waarden verandering. De som van al deze effecten bepaalt hoe de groep zich voelt."
#,VoterType4,Down-down,"Je kunt op een individueel effect klikken als snelkoppeling om meer informatie over dat item te zien. Klik bijvoorbeeld op het effect dat de invloed van de inkomstenbelasting op onze middenklassekiezers laat zien."
#,IncomeTax1,Inkomstenbelasting,"En hier zijn we bij het detailscherm voor Inkomstenbelasting! U kunt dit doen voor bijna elk effect tussen twee items. Inkomstenbelasting is een beleid (witte pictogrammen), en dit scherm toont u de effecten die dat beleid heeft."
#,PolicySlider,Beleidsschuifregelaar,"De schuifregelaar wordt gebruikt om dit specifieke beleid te regelen. Je kunt hem gebruiken om de inkomstenbelasting omhoog of omlaag te brengen, waardoor de effecten op alle gekoppelde items, zoals kiezersgroepen, situaties en statistische gegevens, veranderen. Experimenteer met de schuifregelaar en klik vervolgens op 'volgende'."
#,PolicySlider2,Beleidsschuifregelaar,"Je hebt waarschijnlijk gemerkt dat de effecten twee verschillende waarden tonen als je de schuifregelaar verplaatst, het huidige (donkerdere) effect en het effect met de schuifregelaar op zijn nieuwe positie. De waarden zullen in de loop van de tijd van waar ze zijn naar de nieuwe positie verplaatsen , gebaseerd op de traagheidstijd (in aantal beurten) uiterst rechts van elk effect. Als die waarde nul is, zal het effect aan het begin van de volgende beurt op het nieuwe niveau zijn."
#,RevertChanges,Wijzigingen ongedaan maken,"Laten we de zaken voorlopig laten zoals ze zijn. Druk op de knop 'wijzigingen terugzetten' om aan te geven dat we dit beleid ongewijzigd willen laten, ondanks dat we de schuifregelaar hebben aangepast."
#,QuitPolicy,Beleidsscherm afsluiten,"Juist, dat is genoeg kijken naar de inkomstenbelasting, druk op de sluitknop rechtsboven en laten we terugkeren naar het hoofdscherm."
#,Situations,Situaties,"Tijd om een ​​van de situaties te bekijken die momenteel van invloed zijn op ons land. Klik op een van de situatiepictogrammen waarover u meer informatie wilt."
#,Situations2,Situaties,"Hier staat informatie over de geselecteerde situatie. Zoals je kunt zien, hebben situaties zowel oorzaken (links) als gevolgen. Je kunt hier niets veranderen, je kunt alleen de verschillende effecten zien. Situaties kunnen worden beëindigd als je de kracht van de oorzaken voldoende."
#,Situations3,Triggers en grafieken,"De grafiek bovenaan dit scherm toont informatie over de werkelijke sterkte van deze situatie in de loop van de tijd, en twee triggers. De hogere trigger is de waarde die deze situatie daadwerkelijk activeert. De lagere trigger deactiveert de situatie. Als resultaat , is het makkelijker om een ​​situatie te triggeren dan om er een einde aan te maken."
#,Situations4,Situaties,"Laten we stoppen met deze situatie en nu wat andere gegevens bekijken. Druk op de sluitknop."
#,Simvalue,Statistieken,"Laten we eens kijken naar het laatste type pictogram, de statistische gegevens. Klik op een van de blauwe pictogrammen."
#,Simvalue2,Statistieken,"Dit scherm toont informatie over een nationale statistiek. Net als een situatie heeft het oorzaken en gevolgen. Houd er rekening mee dat sommige statistische waarden goede dingen zijn die we hoog willen (zoals gezondheid) en andere slechte dingen die we laag willen hebben (zoals misdaad). "
#,Simvalue3,Statistieken,"We kunnen hier niets veranderen, dus laten we op de sluitknop drukken en weer teruggaan naar het hoofdscherm."
#,PoliticalCapital,Politiek Kapitaal,"Let op deze waarde in het middelste pictogram. Dit is 'politiek kapitaal', wat staat voor de hoeveelheid steun die uw regering heeft om dingen voor elkaar te krijgen. U hebt een beperkte hoeveelheid politiek kapitaal per beurt (elke beurt is een kwart van een jaar), als je opraakt, moet je de beurt beëindigen om meer te krijgen. Een deel van het politieke kapitaal kan worden overgedragen naar de volgende beurt, maar niet alles. Klik op het pictogram voor details."
#,PoliticalCapital2,Politiek Kapitaal,"Politiek kapitaal wordt gebruikt wanneer je polissen aanpast, annuleert of nieuwe invoert. Verschillende polissen vereisen verschillende bedragen, afhankelijk van hoe controversieel ze zijn. Kapitaal wordt gegenereerd door ministers, je populariteit en door hoe dramatisch je de vorige verkiezingen hebt gewonnen."
#,PoliticalCapital3,Politiek Kapitaal,"Laten we teruggaan naar het hoofdscherm. Sluit voorlopig het venster voor politiek kapitaal."
#,NewPolicy1,Nieuw beleid,"Oké, het is tijd om te zien hoe u een nieuw beleid kunt maken. Klik op de knop Nieuw beleid."
#,NewPolicy2,Nieuw beleid,"Dit zijn nieuwe polissen die adviseurs voor u hebben opgesteld om uit te kiezen. De polissen zijn onderverdeeld in categorieën die worden weergegeven als tabbladen aan de linkerkant. Details van een geselecteerde polis staan ​​aan de rechterkant. De rode polissen kunnen momenteel niet worden geïmplementeerd vanwege een gebrek aan politiek kapitaal. Selecteer een beleid en druk vervolgens op de knop implementeren."
#,NewPolicy3,Nieuw beleid,"Dit is het nieuwe beleid dat u hebt gekozen om te implementeren. U kunt de schuifregelaar voor nieuw beleid gratis aanpassen (zonder politiek kapitaal te gebruiken). Houd er rekening mee dat sommige beleidslijnen tijd nodig hebben om te implementeren, wat betekent dat het een tijdje zal duren voordat ze volledig operationeel zijn Laten we voor nu even teruggaan naar het hoofdscherm. Druk op de sluitknop rechtsboven."
#,NextTurn,Volgende beurt,"Er is nog veel meer te zien, maar daar komen we later op terug. Als je klaar bent met wat je over een kwartier kunt of wilt doen, is het tijd om de bocht te beëindigen. het scherm."
,,,
