,name,guiname,plural,desc
#,Socialist, Соціаліст, соціалістки,"Соціалісти вірять у перерозподіл багатства від багатих до бідних, щоб протидіяти нерівності, яка може виникнути на вільному ринку. Велика держава, що сплачується за рахунок податків, надає всім необхідні послуги, такі як охорона здоров'я, освіта, житло та громадський транспорт. По суті, соціалісти вірять в принцип "кожному за його потребами, від кожного за коштами"."
#,Capitalist, Капіталіст, капіталістки,"Капіталісти вірять в" невидиму руку " вільного ринку, як в найбільш ефективний і справедливий спосіб розподілу ресурсів. Основний принцип полягає в тому, що люди мають право отримувати прибуток від власної праці і що держава повинна триматися подалі від приватного підприємництва. Втручання держави, таке як державна охорона здоров'я, розглядається як спотворення ринку, яке фактично забирає доходи у працьовитих і передає їх менш гідним".
#,Retired, Пенсіонери, що вийшли на пенсію люди,"Пенсіонери та люди похилого віку, які, можливо, все ще працюють, є потужною політичною силою. Явка на виборах, як правило, вище, і у них є час для активної участі в політичній кампанії. Природно, вони більше стурбовані результатами охорони здоров'я, ніж середньостатистичний громадянин, а також чутливі до змін у пенсійному забезпеченні, оскільки в багатьох випадках це їх єдине джерело доходу".
#,Commuter, Приміський, приміські пасажири,"Пасажири включають в себе всіх, хто долає деяку відстань до роботи, будь то на машині, поїзді, автобусі, монорельсовій дорозі або трамваї. Для пасажирів приміських поїздів транспортні витрати та затори на дорогах є гострими політичними проблемами. У пасажирів, які проводять багато часу в пробках або не можуть дістатися на роботу через страйки, буде достатньо часу, щоб донести свої почуття до політиків".
#,Patriot, Патріот, патріотки,"Патріотизм часто цинічно використовується як політичний футбол під час виборів, але для деяких виборців патріотизм є основною частиною їхньої національної ідентичності. Патріоти-це переконані прихильники самобутньої національної ідентичності, потужної військової оборони країни і міцних кордонів".
#,Motorist, Автомобіліст, автомобілістки,"Ступінь, в якій виборець вважає себе автомобілістом, може варіюватися: від завзятих автолюбителів до випадкових користувачів невеликого"міського автомобіля". Однак на кожного, хто керує автомобілем, так чи інакше впливають податки на транспортні засоби, дорожні ціни, податки на паливо, пробки та будь-які пільги чи субсидії, що стосуються палива. Як результат, автомобілісти можуть стати важливою групою під час виборів".
#,Liberal, Ліберал, ліберали,"Складна група для визначення. У деяких країнах лібералізм плутають із соціалізмом, але справжній лібералізм - це віра в особисту свободу, яка накладається на низку інших груп виборців. Ліберали категорично проти державного нагляду і виступають за принцип, згідно з яким слід поважати індивідуальний вибір з таких питань, як сексуальність, володіння зброєю і вживання наркотиків в рекреаційних цілях".
#,Religious, Релігійний, релігійні люди,"Релігійні думки та сила почуттів, очевидно, сильно різняться, але загалом релігійні виборці позитивно ставляться до релігійних шкіл та релігійної освіти та підтримуватимуть закони, які зберігають святі дні священними або захищають церкву від богохульства. Як правило, релігійні виборці негативно ставляться до абортів і досліджень стовбурових клітин. Як правило, релігійні погляди більш популярні в менш розвинених країнах."
#,TradeUnionist, Профспілковий діяч, профспілкові діячі,"Члени профспілок сильно стурбовані правами працівників у великих організаціях і борються за підвищення заробітної плати, скорочення робочого дня і розширення прав на робочому місці. Членство в профспілці може призвести до більшої підтримки промислових акцій (страйків). Низька заробітна плата, високий рівень безробіття та відсутність соціального забезпечення можуть бути чинниками, які спонукають працівників приєднатися до профспілок".
#,SelfEmployed, Самозайняті, самозайняті люди,"До самозайнятих також належать люди, які керують малим бізнесом, такі як сантехніки та електрики. Підприємці та власники малого бізнесу виступають проти надмірного державного регулювання та захисту прав працівників, оскільки це пов'язано з бюрократичними витратами. Вони також відчувають вплив податків на продажі або приріст капіталу, які виникають внаслідок володіння власним бізнесом".
#,Environmentalist, Захисники навколишнього середовища, екологи,"Екологи можуть приєднатися до будь-якої частини політичного спектру, але вони поділяють занепокоєння щодо забруднення навколишнього середовища, зміни клімату та прав тварин. Існує широкий спектр стратегій, які можуть вирішити ці проблеми, але екологів більше турбують результати, ніж методи. Забруднення навколишнього середовища та суворі погодні явища підштовхнуть більше громадян приєднатися до групи екологів".
#,Wealthy, Багаті, заможні люди,"Незалежно від того, чи є їхнє багатство результатом особистих зусиль або спадщини, ця група представляє виборців, які найбільше втрачають через податки на багатство і прибутковий податок або податків на витрати на розкіш. Багаті є більш мобільними, ніж будь-яка інша соціальна група, тому їх важко ефективно оподатковувати. Також зауважте, що люди із середніми доходами прагнуть досягти багатства і, як правило, прагнуть не обкладатися податком, коли це відбувається."
#,Poor, Бідні, незаможні люди,"Ті члени суспільства, які перебувають в економічно несприятливому становищі, природно, більше залежать від соціальних виплат від держави і виявляють жвавий інтерес до нерівності і будь-яких заходів, які переводять гроші від одного відсотка багатих ДО ІНШИХ. Залежно від рівня заробітної плати в цю групу може входити велика або мала кількість безробітних."
#,MiddleIncome, Люди із середнім доходом, одержувачі середнього доходу,"Традиційно це велика частина населення, але вона може скоротитися, якщо нерівність зросте. Середній клас, як правило, політично поміркований, має роботу, власники автомобілів щороку насолоджуються відпусткою і прагнуть відразу ж обзавестися власним будинком. Середній клас має частку в суспільстві, яку вони не хочуть втрачати через громадянські заворушення або злочинність, що часто призводить до центристських поглядів".
#,Parents, Батьки, батьки"Ступінь, в якій виборці вважають себе в першу чергу батьками, буде залежати від того, скільки у них дітей і наскільки вони молоді. Ті, у кого багатодітні молоді сім'ї, будуть надзвичайно чутливі до таких питань, як забезпечення догляду за дітьми або доступність за ціною, а також вартість і якість освіти. Безпека в школі та транспортування до школи також є серйозними проблемами".
#,Farmers, Фермери, фермерші-фермерші,"Не тільки справжні фермери, а й люди, які працюють у суміжних галузях промисловості та сільських громадах. Пріоритети сільських виборців часто відрізняються від пріоритетів жителів столичних міст, і будь-які податки (або, найчастіше... субсидії), які застосовуються до сільського господарства, будуть величезною проблемою. Тенденція до надмірного регулювання виробництва продуктів харчування, ймовірно, буде непопулярною серед цієї групи".
#,StateEmployees, Державні службовці, державні службовці"Будь-хто, хто працює в державній галузі промисловості або сфері послуг, потрапляє в цю групу, до якої він може ставитися, а може і не ставитися однозначно. Сюди входять державні працівники охорони здоров'я та освіти, але часто також поліцейські, військові та службовці місцевого самоврядування. Ніхто так не налаштований на скорочення державних витрат, як ті виборці, для яких такі скорочення безпосередньо впливають на їхню заробітну плату і перспективи працевлаштування".
#,Conservatives, Консерватори, консерватори,"Полярна протилежність лібералам, консерватори є затятими прихильниками того, що зазвичай вважається "сімейними" або "традиційними" цінностями. Ця група, швидше за все, виступить проти лібералізації наркополітики і буде обурена сексуальними скандалами або проступками. Консерватори не в захваті від політики ідентичності, одностатевих шлюбів, перелюбу чи легалізованої проституції".
#,Young, Молодь, молоді люди,- Досить дорослий, щоб голосувати, але досить молодий, щоб все ще здобувати освіту або мати свіжі спогади про це. Природно, молодь більше орієнтована на освіту, ніж на пенсійний вік. У деяких випадках вони все ще можуть погасити будь-які борги, пов'язані з оплатою навчання. Більш політично активні, ніж люди середнього віку".
#,EthnicMinorities, Етнічні меншини, етнічні меншини,"В одних країнах меншість становлять Чорношкірі, в інших - білі, в третіх-корінні жителі. Етнічні меншини, очевидно, сильно стурбовані расизмом у суспільстві, а також будуть стурбовані імміграційною політикою, яка може розглядатися як дискримінаційна. Вони також можуть мати тверді погляди на Міжнародні відносини, враховуючи родичів за кордоном".
#,_All_, Всі, люди,"Кожен виборець входить до цієї групи, і на неї впливатимуть лише дії, політика та ситуації, які однаково впливають на всіх, незалежно від віку, професії чи багатства".
